"player","name","week","position","team","opponent","fantasy_points","fantasy_points_rank","pass_attempts","completions","passing_yards","air_yards_pass","passing_touchdowns","interceptions","carries","rushing_yards","rushing_touchdowns","targets","target_share","receptions","receiving_yards","air_yards","receiving_touchdowns","total_touches","total_yards","snaps","snap_share","pass_snaps","run_snaps","red_zone_snaps","play_action_snaps","snaps_in_motion","shotgun_snaps","backfield_snaps","slot_snaps","inline_snaps","snaps_out_wide","routes_run","primary_corner","hog_rate","contested_targets","contested_catches","catchable_targets","drops","deep_ball_attempts","deep_ball_completions","throws_under_duress","qb_seconds_to_throw","oline_hurries","batted_throws","money_throws","danger_plays","qb_throw_aways","sacks_taken","interceptable_passes","catchable_passes","yards_created","yards_created_rushing","yards_created_receiving","yards_blocked","evaded_tackles","defenders_in_box","defenders_in_box_pass_snaps","defenders_in_box_run_snaps","defenders_in_box_red_zone_snaps","passing_first_downs","rushing_first_downs","receiving_first_downs","red_zone_passes","red_zone_completions","red_zone_carries","red_zone_targets","goal_line_passes","goal_line_carries","goal_line_targets","end_zone_targets","first_down_targets","second_down_targets","third_down_targets","fourth_down_targets","first_down_receiving_yards","second_down_receiving_yards","third_down_receiving_yards","fourth_down_receiving_yards","first_down_throws","second_down_throws","third_down_throws","fourth_down_throws","first_down_passing_yards","second_down_passing_yards","third_down_passing_yards","fourth_down_passing_yards","first_down_carries","second_down_carries","third_down_carries","fourth_down_carries","first_down_rushing_yards","second_down_rushing_yards","third_down_rushing_yards","fourth_down_rushing_yards","carries_left","carries_middle","carries_right","carries_inside","carries_outside","targets_left","targets_middle","targets_right"
"00-0038606","Parker Washington",2,"WR","JAX","CIN",12.6,34,0,0,0,0,0,0,0,0,0,5,12.1951,5,76,38,0,5,76,15,21.1268,11,4,1,1,4,11,,4,,11,10,"CT-3034",33.3333,0,0,6,,0,0,,,,,,,,,,,2,,2,74,2,5.8,5.64,6.25,6,,,4,,,,,,,,,1,4,1,,2,57,40,,,,,,,,,,,,,,,,,,,,,,,2,1,3
"00-0033375","Tim Patrick",2,"WR","JAX","CIN",0,123,0,0,0,0,0,0,0,0,0,1,2.439,0,0,10,0,1,0,11,15.493,5,6,2,2,3,4,,4,,7,4,"DT-0223",9.0909,1,,0,,0,0,,,,,,,,,,,,,,,0,6.18,6,6.33,6,,,,,,,1,,,,1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0040718","Travis Hunter",2,"WR","JAX","CIN",5.2,78,0,0,0,0,0,0,0,0,0,6,14.6341,3,22,30,0,6,22,86,100,55,27,20,8,10,65,5,23,,18,26,"TH-1575",6.9767,1,0,4,1,0,0,,,,,,,,,,,1,,1,21,0,6,6.07,5.88,6,,,1,,,,1,,,,1,4,1,1,,16,6,0,,,,,,,,,,,,,,,,,,,,,,,4,,2
"00-0038492","Jason Brownlee",2,"WR","KC","PHI",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13.3333,4,2,2,1,,8,,1,,7,5,"AJ-0050",0,,,,,0,0,,,,,,,,,,,,,,,,5.67,5.75,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0033857","JuJu Smith-Schuster",2,"WR","KC","PHI",1.5,112,0,0,0,0,0,0,0,0,0,3,10.3448,1,5,19,0,3,5,42,70,23,16,6,7,3,37,,22,,20,28,"CD-2401",7.1429,0,0,1,,0,0,,,,,,,,,,,0,,0,5,0,5.82,5.57,6.19,6,,,,,,,,,,,,1,2,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2,1
"00-0035662","Marquise Brown",2,"WR","KC","PHI",8,63,0,0,0,0,0,0,0,0,0,5,17.2414,5,30,22,0,5,30,45,75,25,18,5,6,3,39,1,19,,25,30,"QM-2401",11.1111,2,2,5,,0,0,,,,,,,,,,,6,,6,24,1,5.79,5.6,6.06,5.75,,,1,,,,,,,,,2,2,1,,21,9,0,,,,,,,,,,,,,,,,,,,,,,,1,1,3
"00-0038519","Nikko Remigio",2,"WR","KC","PHI",3.1,97,0,0,0,0,0,0,0,0,0,1,3.4483,1,21,18,0,1,21,2,3.3333,1,0,0,,,2,,1,,1,1,"QM-2401",50,0,0,1,,0,0,,,,,,,,,,,0,,0,21,0,6,6,,,,,1,,,,,,,,,,,1,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0038104","Tyquan Thornton",2,"WR","KC","PHI",13.9,31,0,0,0,0,0,0,0,0,0,5,17.2414,2,59,169,1,5,59,45,75,25,19,6,8,,37,,9,,36,29,"QM-2401",11.1111,1,0,3,,4,1,,,,,,,,,,,0,,0,10,0,5.86,5.64,6.16,6,,,1,,,,,,,,1,1,3,1,,49,10,0,,,,,,,,,,,,,,,,,,,,,,,3,1,1
"00-0038573","Derius Davis",2,"WR","LAC","LV",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.3571,1,2,0,1,2,1,1,2,,,1,"JA-0150",0,,,,,0,0,,,,,,,,,,,,,,,,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0040184","Keandre Lambert-Smith",2,"WR","LAC","LV",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.5,3,3,1,,,4,,0,1,6,3,"KK-0333",0,,,,,0,0,,,,,,,,,,,,,,,,6.5,6.33,6.67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0030279","Keenan Allen",2,"WR","LAC","LV",17.1,18,0,0,0,0,0,0,0,0,0,7,25.9259,5,61,54,1,7,61,32,57.1429,22,9,4,5,3,30,,15,,17,25,"ES-2635",21.875,0,0,5,,0,0,,,,,,,,,,,10,,10,41,0,6.29,6.23,6.44,6.5,,,3,,,,1,,,,1,1,3,2,1,9,27,0,25,,,,,,,,,,,,,,,,,,,,,,,3,4
"00-0039915","Ladd McConkey",2,"WR","LAC","LV",9.8,47,0,0,0,0,0,0,0,0,0,5,18.5185,5,48,32,0,5,48,43,76.7857,25,17,5,6,9,34,,28,1,14,28,"ES-2635",11.6279,0,0,5,,0,0,,,,,,,,,,,3,,3,45,1,6.45,6.32,6.65,6.6,,,2,,,,,,,,,1,4,,,19,29,,,,,,,,,,,,,,,,,,,,,,,,,1,4
"00-0038544","Quentin Johnston",2,"WR","LAC","LV",15.9,23,0,0,0,0,0,0,1,-2,0,7,25.9259,3,71,115,1,8,69,44,78.5714,27,17,5,7,6,33,1,6,,37,30,"KK-0333",15.9091,1,0,3,,2,1,,,,,,,,,,,0,,0,11,0,6.48,6.37,6.65,6.6,,,1,,,,,,,,,3,3,1,,4,67,0,,,,,,,,,,1,,,,-2,,,,1,,,,1,6,,1
"00-0040727","Tre' Harris",2,"WR","LAC","LV",5.4,77,0,0,0,0,0,0,0,0,0,3,11.1111,2,34,32,0,3,34,17,30.3571,7,8,4,1,,9,1,6,,10,8,"ES-2635",17.6471,0,0,2,,1,1,,,,,,,,,,,2,,2,32,0,6.53,6.29,6.75,6.5,,,1,,,,1,,,,,,1,2,,,24,10,,,,,,,,,,,,,,,,,,,,,,,,1,2
"00-0031381","Davante Adams",2,"WR","LAR","TEN",22.6,9,0,0,0,0,0,0,0,0,0,13,40.625,6,106,138,1,13,106,50,84.7458,31,17,14,15,,21,,8,,42,30,"LS-1562",26,5,1,8,,2,1,,,,,,,,,,,11,,11,79,1,6.58,6.55,6.65,6.85,,,4,,,,5,,,4,5,3,4,6,,33,31,42,,,,,,,,,,,,,,,,,,,,,,,5,3,5
"00-0039751","Jordan Whittington",2,"WR","LAR","TEN",6.2,72,0,0,0,0,0,0,0,0,0,2,6.25,2,42,29,0,2,42,37,62.7119,18,19,14,11,10,10,2,16,,19,16,"JB-2414",5.4054,0,0,2,,1,1,,,,,,,,,,,3,,3,39,0,6.76,6.94,6.58,6.79,,,1,,,,1,,,,,1,1,,,40,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"00-0040590","Konata Mumpfield",2,"WR","LAR","TEN",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13.5593,2,6,3,,,1,,0,,8,2,"LS-1562",0,,,,,0,0,,,,,,,,,,,,,,,,6.62,6,6.83,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0039075","Puka Nacua",2,"WR","LAR","TEN",27.6,6,0,0,0,0,0,0,1,45,1,9,28.125,8,91,68,0,10,136,42,71.1864,29,11,11,12,11,20,5,18,2,17,26,"JB-2414",21.4286,3,2,9,1,0,0,,,,,,,,,,,66,47,19,70,2,6.45,6.41,6.55,6.8,,1,4,,,,1,,,,,5,2,2,,51,17,23,,,,,,,,,,,,,1,,,,45,1,,,,1,4,2,3
"00-0036849","Tutu Atwell",2,"WR","LAR","TEN",0,123,0,0,0,0,0,0,0,0,0,1,3.125,0,0,11,0,1,0,27,45.7627,19,7,5,6,6,14,3,12,,12,17,"RM-7208",3.7037,0,,0,,0,0,,,,,,,,,,,,,,,0,6.27,6.26,6.29,6.4,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0038359","Xavier Smith",2,"WR","LAR","TEN",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3898,2,0,1,1,1,1,,1,,1,2,"JB-2414",0,,,,,0,0,,,,,,,,,,,,,,,,6.5,6.5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0035602","Alex Bachman",2,"WR","LV","LAC",0,123,0,0,0,0,0,0,0,0,0,1,2.2727,0,0,0,0,1,0,1,1.4286,1,0,0,,,1,,1,,,1,"AG-0762",100,,,,,0,0,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0040581","Dont'e Thornton Jr.",2,"WR","LV","LAC",3,98,0,0,0,0,0,0,0,0,0,4,9.0909,1,20,105,0,4,20,57,81.4286,39,13,9,6,,48,,21,,36,40,"TS-2402",7.0175,1,0,1,,2,0,,,,,,,,,,,4,,4,16,0,5.73,5.64,6,5.75,,,1,,,,,,,,,,1,3,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,1,3
"00-0040729","Jack Bech",2,"WR","LV","LAC",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.1429,4,1,1,1,,4,,1,,4,4,"DJ-0575",0,,,,,0,0,,,,,,,,,,,,,,,,6.2,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0034960","Jakobi Meyers",2,"WR","LV","LAC",12.8,33,0,0,0,0,0,0,0,0,0,12,27.2727,6,68,101,0,12,68,65,92.8571,45,15,10,10,18,53,2,33,3,27,46,"TS-2402",18.4615,1,0,6,,1,0,,,,,,,,,,,10,,10,58,3,5.75,5.69,5.93,5.67,,,3,,,,3,,,,2,3,4,4,1,14,4,50,0,,,,,,,,,,,,,,,,,,,,,,9,3,
"00-0038563","Tre Tucker",2,"WR","LV","LAC",4.9,79,0,0,0,0,0,0,1,7,0,8,18.1818,3,12,60,0,9,19,64,91.4286,42,17,9,10,9,49,4,8,2,50,44,"DJ-0575",12.5,1,0,4,1,1,0,,,,,,,,,,,6,5,1,13,1,5.76,5.67,6,5.62,,,,,,,1,,,,1,5,3,,,8,4,,,,,,,,,,,1,,,,7,,,,,,1,,1,2,2,4
"00-0036620","Dee Eskridge",2,"WR","MIA","NE",1.8,108,0,0,0,0,0,0,0,0,0,1,3.3333,1,8,7,0,1,8,4,7.0175,2,2,0,,,2,,2,,2,2,"AA-5555",25,0,0,1,,0,0,,,,,,,,,,,1,,1,7,0,5.5,4.5,6.5,,,,,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0036613","Jaylen Waddle",2,"WR","MIA","NE",17.8,14,0,0,0,0,0,0,0,0,0,6,20,5,68,98,1,6,68,47,82.4561,33,9,3,4,4,40,2,4,,41,32,"CD-0687",12.766,2,2,5,,2,1,,,,,,,,,,,2,,2,41,0,5.57,5.36,6.33,4.5,,,3,,,,1,,,,2,2,4,,,7,61,,,,,,,,,,,,,,,,,,,,,,,,6,,
"00-0039880","Malik Washington",2,"WR","MIA","NE",9.5,50,0,0,0,0,0,0,3,23,0,2,6.6667,1,2,6,0,5,25,35,61.4035,22,9,3,1,6,31,5,17,,13,21,"MJ-7432",5.7143,0,0,1,,0,0,,,,,,,,,,,5,4,1,20,1,5.39,5.05,6.22,4.5,,1,,,,,,,,,,,1,,1,,2,,0,,,,,,,,,1,2,,,0,23,,,2,,1,,3,1,1,
"00-0036182","Nick Westbrook-Ikhine",2,"WR","MIA","NE",3.8,90,0,0,0,0,0,0,0,0,0,3,10,2,18,18,0,3,18,16,28.0702,8,7,0,3,3,12,,8,,8,6,"MJ-7432",18.75,0,0,2,,0,0,,,,,,,,,,,5,,5,13,1,5.87,5.5,6.29,,,,1,,,,,,,,,2,,1,,11,,7,,,,,,,,,,,,,,,,,,,,,,,1,1,1
"00-0033040","Tyreek Hill",2,"WR","MIA","NE",16.9,19,0,0,0,0,0,0,0,0,0,7,23.3333,6,109,125,0,7,109,48,84.2105,34,9,3,4,15,43,2,15,1,30,31,"CD-0687",14.5833,0,0,6,,3,2,,,,,,,,,,,10,,10,68,1,5.58,5.35,6.44,4.5,,,4,,,,,,,,,3,2,2,,27,26,56,,,,,,,,,,,,,,,,,,,,,,,3,,4
"00-0030035","Adam Thielen",2,"WR","MIN","ATL",4.6,84,0,0,0,0,0,0,0,0,0,3,14.2857,2,26,58,0,3,26,38,80.8511,24,13,4,6,3,26,1,22,,15,26,"BB-2502",7.8947,1,1,2,,1,0,,,,,,,,,,,0,,0,26,0,6.3,6.29,6.31,6.5,,,2,,,,,,,,,,2,1,,,7,19,,,,,,,,,,,,,,,,,,,,,,,1,1,1
"00-0037291","Jalen Nailor",2,"WR","MIN","ATL",6.1,74,0,0,0,0,0,0,0,0,0,5,23.8095,3,31,82,0,5,31,47,100,27,19,4,9,9,28,5,14,1,27,27,"MH-3715",10.6383,1,0,3,,1,0,,,,,,,,,,,0,,0,29,0,6.33,6.41,6.21,6.5,,,2,,,,1,,,,,3,,2,,19,,12,,,,,,,,,,,,,,,,,,,,,,,2,,3
"00-0036322","Justin Jefferson",2,"WR","MIN","ATL",11.1,38,0,0,0,0,0,0,0,0,0,6,28.5714,3,81,102,0,6,81,47,100,27,19,4,9,2,28,2,5,,40,28,"MH-3715",12.766,0,0,3,,2,1,,,,,,,,,,,4,,4,68,0,6.33,6.41,6.21,6.5,,,2,,,,1,,,1,1,4,1,1,,31,50,0,,,,,,,,,,,,,,,,,,,,,,,,1,5
"00-0036497","Tim Jones",2,"WR","MIN","ATL",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.383,1,2,0,1,,1,,0,,3,0,"MH-3715",0,,,,,0,0,,,,,,,,,,,,,,,,6.33,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0038621","DeMario Douglas",2,"WR","NE","MIA",1.8,108,0,0,0,0,0,0,0,0,0,1,4.3478,1,8,5,0,1,8,16,28.0702,10,4,4,1,3,11,1,13,1,1,9,"MF-0550",6.25,0,0,1,,0,0,,,,,,,,,,,1,,1,7,0,6,5.7,6.75,5.5,,,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0038608","Kayshon Boutte",2,"WR","NE","MIA",8.6,58,0,0,0,0,0,0,0,0,0,1,4.3478,1,16,16,1,1,16,43,75.4386,19,21,10,4,1,20,,2,,41,20,"JJ-0111",2.3256,1,1,1,,0,0,,,,,,,,,,,,,,,0,6.25,5.79,6.67,6,,,1,,,,1,,,,1,,,1,,,,16,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0040131","Kyle Williams",2,"WR","NE","MIA",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.2807,2,4,1,3,,0,,0,,7,3,"RD-1550",0,,,,,0,0,,,,,,,,,,,,,,,,7.17,6,7.75,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0033555","Mack Hollins",2,"WR","NE","MIA",7.8,65,0,0,0,0,0,0,0,0,0,2,8.6957,1,8,16,1,2,8,38,66.6667,15,19,7,7,10,11,,6,6,26,16,"RD-1550",5.2632,0,0,1,,0,0,,,,,,,,,,,,,,,0,6.32,5.6,6.89,6.17,,,1,,,,1,,,,1,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2
"00-0031588","Stefon Diggs",2,"WR","NE","MIA",7.2,70,0,0,0,0,0,0,0,0,0,5,21.7391,4,32,34,0,5,32,32,56.1404,16,13,7,2,9,22,,15,,16,14,"JJ-0111",15.625,0,0,4,,0,0,,,,,,,,,,,5,,5,27,0,6.04,5.73,6.38,5.83,,,1,,,,,,,,,1,2,1,1,8,8,6,10,,,,,,,,,,,,,,,,,,,,,,2,2,1
"00-0031236","Brandin Cooks",2,"WR","NO","SF",4.6,84,0,0,0,0,0,0,0,0,0,2,5.8824,2,26,25,0,2,26,48,67.6056,30,15,3,10,4,46,,18,,30,31,"DL-8383",4.1667,1,1,2,,1,1,,,,,,,,,,,0,,0,26,0,6,5.97,6.07,6,,,2,,,,,,,,,,2,,,,26,,,,,,,,,,,,,,,,,,,,,,,,2,,
"00-0037239","Chris Olave",2,"WR","NO","SF",11.4,36,0,0,0,0,0,0,0,0,0,10,29.4118,6,54,121,0,10,54,71,100,37,30,9,15,8,58,1,22,,48,40,"RG-2401",14.0845,2,1,8,,2,0,,,,,,,,,,,3,,3,50,0,6.06,6.08,6.03,6.33,,,4,,,,1,,,,1,2,4,4,,18,18,17,,,,,,,,,,,,,,,,,,,,,,,6,1,3
"00-0039424","Devaughn Vele",2,"WR","NO","SF",7.3,69,0,0,0,0,0,0,0,0,0,1,2.9412,1,3,3,1,1,3,24,33.8028,9,15,3,7,6,17,1,7,,16,6,"US-2501",4.1667,1,1,1,,0,0,,,,,,,,,,,,,,,0,6.08,6.33,5.93,6.67,,,,,,,1,,,1,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"00-0037545","Rashid Shaheed",2,"WR","NO","SF",15.2,26,0,0,0,0,0,0,0,0,0,5,14.7059,4,52,56,1,5,52,50,70.4225,28,18,7,7,7,45,2,20,,28,31,"DL-8383",10,1,1,4,,1,1,,,,,,,,,,,3,,3,46,0,6.07,6.04,6.11,6.29,,,1,,,,2,,,1,,1,4,,,8,44,,,,,,,,,,,,,,,,,,,,,,,,2,1,2
"00-0035535","Darius Slayton",2,"WR","NYG","DAL",8.1,61,0,0,0,0,0,0,0,0,0,3,7.5,2,61,43,0,3,61,67,100,44,21,14,8,2,55,,10,,57,45,"KE-2396",4.4776,0,0,2,,1,1,,,,,,,,,,,1,,1,60,0,6.08,5.95,6.33,6.07,,,1,,,,1,,,,1,2,1,,,61,0,,,,,,,,,,,,,,,,,,,,,,,,1,,2
"00-0039337","Malik Nabers",2,"WR","NYG","DAL",37.7,2,0,0,0,0,0,0,0,0,0,13,32.5,9,167,263,2,13,167,66,98.5075,44,20,14,8,6,55,,10,,56,44,"TD-1350",19.697,0,0,10,,6,3,,,,,,,,,,,4,,4,29,1,6.06,5.95,6.3,6.07,,,6,,,,1,,,,3,7,3,3,,122,17,28,,,,,,,,,,,,,,,,,,,,,,,9,,4
"00-0038117","Wan'Dale Robinson",2,"WR","NYG","DAL",28.2,5,0,0,0,0,0,0,0,0,0,10,25,8,142,162,1,10,142,47,70.1493,34,12,11,3,8,45,,38,,9,35,"RS-2402",21.2766,1,0,8,,4,3,,,,,,,,,,,9,,9,101,0,5.87,5.85,5.92,5.91,,,5,,,,1,,,,1,1,2,6,1,25,16,69,32,,,,,,,,,,,,,,,,,,,,,,3,2,5
"00-0034521","Allen Lazard",2,"WR","NYJ","BUF",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,46.8085,10,12,1,,2,21,,5,1,16,10,"TW-1725",0,,,,,0,0,,,,,,,,,,,,,,,,5.91,5.8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0040582","Arian Smith",2,"WR","NYJ","BUF",0.8,121,0,0,0,0,0,0,1,-10,0,2,9.5238,1,8,22,0,3,-2,22,46.8085,15,7,3,,1,19,,9,,13,19,"CL-0893",9.0909,1,0,2,,0,0,,,,,,,,,,,1,,1,7,0,6.18,6.27,6,6.33,,,1,,,,,,,,,,1,,1,,0,,8,,,,,,,,,1,,,,-10,,,,,,1,,1,1,,1
"00-0037740","Garrett Wilson",2,"WR","NYJ","BUF",9,54,0,0,0,0,0,0,0,0,0,8,38.0952,4,50,73,0,8,50,44,93.617,26,18,4,2,8,39,,15,2,27,31,"CB-0111",18.1818,0,0,5,1,1,0,,,,,,1,,,,,0,,0,50,0,6.07,6.08,6.06,6.25,,,2,,,,,,,,,3,,5,,46,,4,,,,,,,,,,,,,,,,,,,,,,,3,2,3
"00-0036427","Tyler Johnson",2,"WR","NYJ","BUF",0,123,0,0,0,0,0,0,0,0,0,1,4.7619,0,0,22,0,1,0,45,95.7447,25,20,4,2,5,40,,19,,26,30,"CL-0893",2.2222,1,,0,,1,0,,,,,,,,,,,,,,,0,6.07,6.08,6.05,6.25,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0035676","A.J. Brown",2,"WR","PHI","KC",7.7,67,0,0,0,0,0,0,0,0,0,8,38.0952,5,27,59,0,8,27,58,100,24,32,6,3,4,45,,4,1,53,23,"TM-2673",13.7931,1,0,6,,1,0,,,,,,,,,,,0,,0,23,0,6.36,5.83,6.75,7.5,,,1,,,,,,,,,1,3,4,,0,8,19,,,,,,,,,,,,,,,,,,,,,,,4,,4
"00-0040024","Darius Cooper",2,"WR","PHI","KC",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20.6897,2,9,3,1,1,6,,2,7,3,2,"TM-2673",0,,,,,0,0,,,,,,,,,,,,,,,,7.36,6,7.67,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0036912","DeVonta Smith",2,"WR","PHI","KC",9.3,51,0,0,0,0,0,0,0,0,0,6,28.5714,4,53,104,0,6,53,45,77.5862,23,21,2,2,5,40,,23,,22,22,"JW-4213",13.3333,0,0,5,,3,1,,,,,,,,,,,0,,0,53,0,6.05,5.83,6.29,6.5,,,2,,,,,,,,,1,2,3,,0,19,34,,,,,,,,,,,,,,,,,,,,,,,3,,3
"00-0037741","Jahan Dotson",2,"WR","PHI","KC",1.4,116,0,0,0,0,0,0,0,0,0,1,4.7619,1,4,-6,0,1,4,22,37.931,18,3,0,,1,22,1,7,,14,19,"JW-4213",4.5455,0,0,1,,0,0,,,,,,,,,,,0,,0,4,0,5.62,5.72,5,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0037614","John Metchie III",2,"WR","PHI","KC",1,120,0,0,0,0,0,0,0,0,0,1,4.7619,1,0,-3,0,1,0,7,12.069,3,4,1,1,2,7,,2,1,4,2,"NB-4253",14.2857,0,0,1,,0,0,,,,,,,,,,,0,,0,0,0,6,6,6,6,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0036862","Ben Skowronek",2,"WR","PIT","SEA",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.8387,3,0,0,1,,3,,2,1,,3,"DK-6488",0,,,,,0,0,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0037837","Calvin Austin III",2,"WR","PIT","SEA",3.2,96,0,0,0,0,0,0,0,0,0,4,12.9032,1,22,89,0,4,22,57,91.9355,34,21,7,4,10,48,5,22,2,28,34,"JJ-0036",7.0175,0,0,1,,3,1,,,,,,,,,,,0,,0,22,0,6,5.5,6.81,6.86,,,1,,,,,,,,,,,2,2,,,0,22,,,,,,,,,,,,,,,,,,,,,,1,3,
"00-0035640","DK Metcalf",2,"WR","PIT","SEA",11,40,0,0,0,0,0,0,0,0,0,6,19.3548,3,20,45,1,6,20,56,90.3226,35,19,7,4,,47,,8,,48,35,"JJ-0036",10.7143,3,1,3,,0,0,,,,,,,,,,,80,,80,-62,0,6,5.51,6.89,6.86,,,,,,,1,,,1,1,3,2,1,,9,9,2,,,,,,,,,,,,,,,,,,,,,,,4,,2
"00-0039739","Roman Wilson",2,"WR","PIT","SEA",1.7,110,0,0,0,0,0,0,0,0,0,2,6.4516,1,7,23,0,2,7,22,35.4839,15,6,0,,1,22,1,3,,18,15,"TW-7639",9.0909,0,0,1,,0,0,,,,,,,,,,,0,,0,7,0,5.38,5.13,6,,,,,,,,,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,1,
"00-0035298","Scotty Miller",2,"WR","PIT","SEA",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14.5161,6,3,0,,1,9,,0,1,8,6,"TW-7639",0,,,,,0,0,,,,,,,,,,,,,,,,5.67,5.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0033908","Cooper Kupp",2,"WR","SEA","PIT",16,21,0,0,0,0,0,0,0,0,0,9,30,7,90,60,0,9,90,44,67.6923,28,15,6,6,2,26,1,18,,25,28,"DS-2250",20.4545,0,0,7,,0,0,,,,,,,,,,,11,,11,76,0,6.3,5.96,6.93,6.5,,,5,,,,,,,,,5,2,2,,40,20,30,,,,,,,,,,,,,,,,,,,,,,,3,6,
"00-0037093","Dareke Young",2,"WR","SEA","PIT",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.3077,2,6,0,2,,0,1,0,,7,2,"JR-0150",0,,,,,0,0,,,,,,,,,,,,,,,,7.88,7.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0038752","Jake Bobo",2,"WR","SEA","PIT",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16.9231,4,7,4,1,,2,,1,1,9,4,"DS-2250",0,,,,,0,0,,,,,,,,,,,,,,,,7.27,6,8,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0038543","Jaxon Smith-Njigba",2,"WR","SEA","PIT",18.3,13,0,0,0,0,0,0,0,0,0,10,33.3333,8,103,103,0,10,103,43,66.1538,31,12,6,7,1,25,2,8,,33,31,"JR-0150",23.2558,2,2,8,,2,1,,,,,,,,,,,4,,4,85,0,6.26,6,6.92,6.67,,,4,,,,,,,,,2,4,4,,57,19,27,,,,,,,,,,,,,,,,,,,,,,,4,4,2
"00-0040648","Tory Horton",2,"WR","SEA","PIT",11.2,37,0,0,0,0,0,0,0,0,0,4,13.3333,2,32,79,1,4,32,25,38.4615,17,8,2,2,6,15,,7,,18,17,"DS-2250",16,1,0,2,,2,1,,,,,,,,,,,0,,0,11,0,6.16,5.76,7,8,,,1,,,,,,,,,2,1,1,,21,0,11,,,,,,,,,,,,,,,,,,,,,,,,2,2
