"player","name","week","position","team","opponent","fantasy_points","fantasy_points_rank","pass_attempts","completions","passing_yards","air_yards_pass","passing_touchdowns","interceptions","carries","rushing_yards","rushing_touchdowns","targets","target_share","receptions","receiving_yards","air_yards","receiving_touchdowns","total_touches","total_yards","snaps","snap_share","pass_snaps","run_snaps","red_zone_snaps","play_action_snaps","snaps_in_motion","shotgun_snaps","backfield_snaps","slot_snaps","inline_snaps","snaps_out_wide","routes_run","primary_corner","hog_rate","contested_targets","contested_catches","catchable_targets","drops","deep_ball_attempts","deep_ball_completions","throws_under_duress","qb_seconds_to_throw","oline_hurries","batted_throws","money_throws","danger_plays","qb_throw_aways","sacks_taken","interceptable_passes","catchable_passes","yards_created","yards_created_rushing","yards_created_receiving","yards_blocked","evaded_tackles","defenders_in_box","defenders_in_box_pass_snaps","defenders_in_box_run_snaps","defenders_in_box_red_zone_snaps","passing_first_downs","rushing_first_downs","receiving_first_downs","red_zone_passes","red_zone_completions","red_zone_carries","red_zone_targets","goal_line_passes","goal_line_carries","goal_line_targets","end_zone_targets","first_down_targets","second_down_targets","third_down_targets","fourth_down_targets","first_down_receiving_yards","second_down_receiving_yards","third_down_receiving_yards","fourth_down_receiving_yards","first_down_throws","second_down_throws","third_down_throws","fourth_down_throws","first_down_passing_yards","second_down_passing_yards","third_down_passing_yards","fourth_down_passing_yards","first_down_carries","second_down_carries","third_down_carries","fourth_down_carries","first_down_rushing_yards","second_down_rushing_yards","third_down_rushing_yards","fourth_down_rushing_yards","carries_left","carries_middle","carries_right","carries_inside","carries_outside","targets_left","targets_middle","targets_right"
"00-0039923","J.J. McCarthy",1,"QB","MIN","CHI",23.22,11,20,13,143,117,2,1,2,25,1,0,0,0,0,0,0,2,25,56,100,23,26,10,10,,21,,0,,,0,"",0,,,,,2,1,1,3.02307692307692,10,2,,1,,3,1,14,2,2,,12,0,5.95,5.95,,6,5,2,,3,1,1,,,,,,,,,,,,,,5,9,6,,74,45,24,,1,,1,,11,,14,,1,,1,1,1,,,
"00-0039851","Drake Maye",1,"QB","NE","LV",16.78,17,46,30,287,353,1,1,4,11,0,1,2.2222,1,2,-8,0,5,13,71,100,50,18,6,9,,56,,0,,,0,"",1.4085,0,0,0,,6,2,2,2.73617021276596,1,2,,3,1,4,2,32,2,2,,2,0,5.83,5.83,,5.75,14,,,4,2,,,2,,,,,,1,,,,2,,15,20,10,1,80,147,57,3,4,,,,11,,,,2,1,1,1,3,,1,
"00-0039376","Spencer Rattler",1,"QB","NO","ARI",11.46,22,46,27,214,336,0,0,4,29,0,0,0,0,0,0,0,4,29,73,100,45,22,9,3,,68,,0,,,0,"",0,,,,,5,1,,2.18333333333333,10,,,1,3,1,1,32,4,4,,4,1,5.17,5.17,,4.29,11,1,,7,,1,,2,,,,,,,,,,,,15,18,11,2,52,111,45,6,3,1,,,20,9,,,,1,3,2,2,,,
"00-0029263","Russell Wilson",1,"QB","NYG","WAS",11.12,24,37,17,168,226,0,0,8,44,0,0,0,0,0,0,0,8,44,68,100,39,23,13,12,,50,,0,,,0,"",0,,,,,2,0,,2.58604651162791,8,2,,2,7,2,1,20,1,1,,3,0,5.89,5.89,,6.44,9,3,,9,2,2,,6,,,,,,,,,,,,13,11,12,1,56,59,53,0,5,,2,1,32,,10,2,2,2,4,3,5,,,
"00-0036945","Justin Fields",1,"QB","NYJ","PIT",29.52,2,22,16,218,169,1,0,12,48,2,0,0,0,0,0,0,12,48,64,100,23,39,13,3,,47,,0,,,0,"",0,,,,,1,1,1,3.44782608695652,1,2,,,1,1,,17,5,5,,6,2,6.45,6.45,,,7,3,,,,4,,,2,,,,,,,,,,,9,7,5,1,125,47,46,0,5,1,5,1,20,15,12,1,5,1,6,2,10,,,
"00-0036389","Jalen Hurts",1,"QB","PHI","DAL",24.28,8,23,19,152,112,0,0,14,62,2,0,0,0,0,0,0,14,62,59,100,24,35,8,6,,48,,0,,,0,"",0,,,,,1,1,,3.20434782608696,7,,,,3,1,,20,1,1,,1,0,6.3,6.3,,5,6,2,,1,1,3,,,1,,,,,,,,,,,8,9,6,,38,36,78,,3,4,7,,11,19,32,,3,3,5,3,8,,,
"00-0023459","Aaron Rodgers",1,"QB","PIT","NYJ",25.66,7,30,22,244,139,4,0,1,-1,0,0,0,0,0,0,0,1,-1,55,100,34,19,7,8,,39,,0,,,0,"",0,,,,,1,0,1,2.4,1,,,1,1,4,1,26,,,,,0,6.13,6.13,,7,11,,,3,3,,,2,,,,,,,,,,,,11,12,7,,59,138,47,,1,,,,-1,,,,,,,,,,,
"00-0040673","Jalen Milroe",1,"QB","SEA","SF",0.1,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1.9231,0,1,0,,,1,,0,,,0,"",0,,,,,0,0,,,,,,,,,,,2,2,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,,,
"00-0034869","Sam Darnold",1,"QB","SEA","SF",5.4,31,23,16,150,197,0,0,2,14,0,0,0,0,0,0,0,2,14,51,98.0769,23,26,10,1,,31,1,0,,1,0,"",0,,,,,3,1,,2.60833333333333,5,,1,1,,1,,17,0,0,,9,0,5.84,5.83,6,7,6,1,,,,,,,,,,,,,,,,,,10,6,7,,56,73,21,,,2,,,,14,,,,,2,,2,,,
"00-0037834","Brock Purdy",1,"QB","SF","SEA",18.78,14,35,26,277,260,2,2,5,17,0,0,0,0,0,0,0,5,17,74,100,36,34,20,9,,41,,0,,,0,"",0,,,,,5,4,,3.13157894736842,8,,,4,2,1,4,26,,,,,0,6.43,6.43,,6.5,14,,,10,5,2,,2,,,,,,,,,,,,13,11,9,2,105,108,54,10,2,3,,,-2,19,,,2,,1,1,2,,,
