"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Kyle Williams","NE","WR","1.1","0.9","0.7","0.9","1.1","Main","4.0","3.4"
"Charlie Kolar","BAL","TE","1.0","0.8","0.6","0.8","1.0","Main","3.7","3.0"
"Jackson Hawes","BUF","TE","1.0","0.8","0.6","0.8","1.0","Main","3.7","3.1"
"Tyler Goodson","IND","RB","1.0","0.9","0.8","0.9","1.0","Main","3.8","3.6"
"Ben Sinnott","WAS","TE","1.0","0.8","0.6","0.8","1.0","Main","3.6","2.9"
"Devontez Walker","BAL","WR","0.9","0.7","0.6","0.7","0.9","Main","3.5","3.0"
"Brevyn Spann-Ford","DAL","TE","0.9","0.7","0.5","0.7","0.9","Sunday","3.3","2.6"
"Arian Smith","NYJ","WR","0.9","0.7","0.5","0.7","0.9","Monday","3.4","2.8"
"Cam Akers","MIN","RB","0.8","0.8","0.7","0.8","0.8","Other","3.1","2.9"
"Jack Stoll","NO","TE","0.8","0.6","0.4","0.6","0.8","Main","2.9","2.3"
"Daniel Bellinger","NYG","TE","0.8","0.6","0.4","0.6","0.8","Main","2.8","2.2"
"Dee Eskridge","MIA","WR","0.7","0.6","0.4","0.6","0.7","Monday","2.8","2.2"
"Brady Russell","SEA","TE","0.7","0.7","0.7","0.7","0.7","Thursday","3.1","3.0"
"Payne Durham","TB","TE","0.7","0.6","0.5","0.6","0.7","Main","2.9","2.4"
"Tim Patrick","JAX","WR","0.6","0.4","0.3","0.4","0.6","Main","2.2","1.8"
"KeAndre Lambert-Smith","LAC","WR","0.6","0.5","0.5","0.5","0.6","Main","2.8","2.5"
"Kaleb Johnson","PIT","RB","0.6","0.6","0.5","0.6","0.6","Other","2.5","2.3"
"Scotty Miller","PIT","WR","0.6","0.4","0.3","0.4","0.6","Other","2.2","1.7"
"Jake Bobo","SEA","WR","0.6","0.5","0.4","0.5","0.6","Thursday","2.5","2.0"
"Xavier Weaver","ARI","WR","0.5","0.4","0.3","0.4","0.5","Thursday","2.1","1.7"
"Charlie Woerner","ATL","TE","0.5","0.4","0.3","0.4","0.5","Main","2.0","1.6"
"Trevor Etienne","CAR","RB","0.5","0.5","0.4","0.5","0.5","Main","2.1","1.9"
"Roschon Johnson","CHI","RB","0.5","0.4","0.4","0.4","0.5","Main","1.9","1.7"
"Mitchell Tinsley","CIN","WR","0.5","0.4","0.3","0.4","0.5","Monday","2.1","1.7"
"Kimani Vidal","LAC","RB","0.5","0.5","0.5","0.5","0.5","Main","2.1","2.1"
"Eric Saubert","SEA","TE","0.5","0.4","0.3","0.4","0.5","Thursday","2.0","1.5"
"Michael Carter","ARI","RB","0.4","0.4","0.4","0.4","0.4","Thursday","1.7","1.7"
"Tahj Brooks","CIN","RB","0.4","0.4","0.4","0.4","0.4","Monday","2.1","2.1"
"Hunter Luepke","DAL","RB","0.4","0.4","0.3","0.4","0.4","Sunday","1.8","1.5"
"Adam Prentice","DEN","RB","0.4","0.4","0.3","0.4","0.4","Monday","1.8","1.6"
"Dare Ogunbowale","HOU","RB","0.4","0.3","0.2","0.3","0.3","Main","1.5","1.2"
"Dante Miller","NYG","RB","0.4","0.3","0.2","0.3","0.4","Main","1.5","1.2"
"AJ Dillon","PHI","RB","0.4","0.4","0.4","0.4","0.4","Main","2.4","2.2"
"Dareke Young","SEA","WR","0.4","0.3","0.2","0.3","0.4","Thursday","1.5","1.3"
"Dalevon Campbell","CAR","WR","0.3","0.2","0.2","0.2","0.3","Main","1.0","0.8"
"James Mitchell","CAR","TE","0.3","0.2","0.2","0.2","0.3","Main","1.1","0.8"
"Durham Smythe","CHI","TE","0.3","0.2","0.2","0.2","0.3","Main","1.1","0.9"
"Jalen Brooks","DAL","WR","0.3","0.2","0.2","0.2","0.3","Sunday","1.1","0.9"
"Nate Adkins","DEN","TE","0.3","0.2","0.2","0.2","0.3","Monday","1.2","1.0"
"Anthony Gould","IND","WR","0.3","0.2","0.2","0.2","0.3","Main","1.0","0.8"
"Drew Ogletree","IND","TE","0.3","0.2","0.2","0.2","0.3","Main","1.1","0.9"
"Nikko Remigio","KC","WR","0.3","0.3","0.2","0.3","0.3","Main","1.3","1.2"
"Robert Tonyan","KC","TE","0.3","0.3","0.2","0.3","0.3","Main","1.2","1.0"
"Scott Matlock","LAC","RB","0.3","0.2","0.1","0.2","0.3","Main","1.0","0.8"
"Jaylen Wright","MIA","RB","0.3","0.2","0.2","0.2","0.3","Monday","1.1","1.0"
"Trey Palmer","NO","WR","0.3","0.2","0.2","0.2","0.3","Main","1.0","0.8"
"Chris Manhertz","NYG","TE","0.3","0.2","0.1","0.2","0.3","Main","1.0","0.8"
"Ben Skowronek","PIT","WR","0.3","0.2","0.2","0.2","0.3","Other","1.1","0.9"
"Connor Heyward","PIT","TE","0.3","0.2","0.2","0.2","0.3","Other","1.1","0.8"
