O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Injury Detail,Surgery,Recovery Timetable,Injured Reserve,IR from Previous inj.
D,Justin Houston,JH-5500,Carolina Panthers,Hamstring Strain,hamstring,lower body,Low Severity,Week 9,2023,1,1,,,,,
D,Tremaine Edmunds,TE-0012,Chicago Bears,Knee,knee,lower body,Low Severity,Week 9,2023,1,2,,,,,
D,Jaquan Brisker,JB-6162,Chicago Bears,Concussion,head,upper body,Low Severity,Week 9,2023,1,1,,,,,
D,Greg Newsome,GN-9454,Cleveland Browns ,Groin Strain,groin,lower body,Low Severity,Week 9,2023,1,2,,,,,
D,Za'Darius Smith,ZS-0075,Cleveland Browns ,Neck,neck,upper body,Low Severity,Week 9,2023,,1,,,,,
O,Jarrett Patterson,JP-0224,Houston Texans,Broken Ankle,ankle,lower body,Medium Severity,Week 9,2023,4,,,Yes,,,
O,Terron Armstead,TA-0850,Miami Dolphins,Knee,knee,lower body,Low Severity,Week 9,2023,,4,,,,,
D,Bradley Roby,BR-1050,Philadelphia Eagles,Shoulder,shoulder,upper body,Medium Severity,Week 6,2023,3,4,,,,,
D,Minkah Fitzpatrick,MF-0550,Pittsburgh Steelers,Hamstring Strain,hamstring,lower body,Medium Severity,Week 9,2023,4,4,,,,,
O,Jeff Smith,JS-4212,Arizona Cardinals,Undisclosed injury,abdomen,upper body,Low Severity,Week 9,2023,1,1,,,,,
O,Damien Williams,DW-3125,Arizona Cardinals,Foot Sprain,foot,lower body,Medium Severity,Week 9,2023,1,1,,,,Yes,
O,Emari Demercado,ED-2223,Arizona Cardinals,Toe Soreness,toe,lower body,Medium Severity,Week 9,2023,3,4,,,,,
O,Michael Wilson,MW-0225,Arizona Cardinals,Bruised Shoulder,shoulder,upper body,Medium Severity,Week 9,2023,4,5,,,,,
O,Odell Beckham,OB-0075,Baltimore Ravens,Shoulder Soreness,shoulder,upper body,Low Severity,Week 9,2023,,3,,,,,
O,Gus Edwards,GE-0150,Baltimore Ravens,Toe Soreness,toe,lower body,Low Severity,Week 9,2023,,1,,,,,
O,DJ Chark,DC-1418,Carolina Panthers,Elbow Soreness,elbow,upper body,Medium Severity,Week 9,2023,2,3,,,,,
O,Raheem Blackshear,RB-0110,Carolina Panthers,Groin Strain,groin,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Teagan Quitoriano,TQ-0110,Houston Texans,Groin Strain,groin,lower body,Medium Severity,Week 9,2023,1,1,,,,Yes,
O,Joe Mixon,JM-5275,Cincinnati Bengals,Chest Soreness,chest,upper body,Low Severity,Week 9,2023,,1,,,,,
O,David Bell,DB-7254,Cleveland Browns ,Knee Soreness,knee,lower body,Low Severity,Week 9,2023,2,3,,,,,
O,David Njoku,DN-1225,Cleveland Browns ,Ankle Soreness,ankle,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Dameon Pierce,DP-7450,Houston Texans,Ankle Sprain,ankle,lower body,Medium Severity,Week 9,2023,3,4,,,,,
O ,Patrick Mahomes,PM-0025,Kansas City Chiefs,Bruised left hand,hand,upper body,Low Severity,Week 9,2023,,1,,,,,
O,Ko Kieft,KK-0110,Tampa Bay Buccaneers ,Ankle Sprain,ankle,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Kadarius Toney,KT-9961,Kansas City Chiefs,Ankle Soreness,ankle,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Skyy Moore,SM-7319,Kansas City Chiefs,Bruised Heel,heel,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Durham Smythe,DS-3137,Miami Dolphins,Ankle Soreness,ankle,lower body,Low Severity,Week 9,2023,,5,,,,,
O,Brandon Powell,BP-1225,Minnesota Vikings,Bruised Shoulder,shoulder,upper body,Low Severity,Week 9,2023,,1,,,,,
O,K.J. Osborn,KO-0725,Minnesota Vikings,Sore Chest,chest,upper body,Low Severity,Week 9,2023,,1,,,,,
O,Pharaoh Brown,PB-0725,New England Patriots,Sore Back,back,upper body,Low Severity,Week 9,2023,,1,,,,,
O,DeVante Parker,DP-0350,New England Patriots,Concussion,head,upper body,Low Severity,Week 9,2023,2,3,,,,,
O,Taysom Hill,TH-1625,New Orleans Saints,Hip bruise,hip,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Saquon Barkley,SB-0212,New York Giants,Ankle Soreness,ankle,lower body,Low Severity,Week 9,2023,,2,,,,,
O,Tyrod Taylor,TT-0500,New York Giants,Bruised Ribs ,rib,upper body,Medium Severity,Week 9,2023,5,5,,,,,
O,Jack Stoll,JS-9986,Philadelphia Eagles,Bruised Ankle,ankle,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Grant Calcaterra,GC-1057,Philadelphia Eagles,Concussion,head,upper body,Low Severity,Week 9,2023,1,1,,,,,
O,Logan Thomas,LT-0275,Washington Commanders,Heel Soreness,foot,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Curtis Samuel,CS-0050,Washington Commanders,Toe Sprain,foot,lower body,Low Severity,Week 9,2023,1,1,,,,,
O,DeAndre Hopkins,DH-3950,Tennessee Titans,Toe Sprain,foot,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Josh Downs,JD-5864,Indianapolis Colts,Knee Sprain,knee,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Clyde Edwards-Helaire,CE-0275,Kansas City Chiefs,Illness,abdomen,upper body,Low Severity,Week 9,2023,1,2,,,,,
O,Puka Nacua,PN-0223,Los Angeles Rams,Knee Swelling,knee,lower body,Low Severity,Week 9,2023,,2,,,,,
O,Braxton Berrios,BB-1950,Miami Dolphins,Hamstring Strain,leg,lower body,Low Severity,Week 9,2023,,2,,,,,
O,Tyquan Thornton,TT-2346,New England Patriots,Foot Soreness,foot,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Keith Smith,KS-1400,Atlanta Falcons,Concussion,head,upper body,Low Severity,Week 9,2023,1,1,,,,,
D,Donte Jackson,DJ-0575,Carolina Panthers,Quadriceps,quad,lower body,Low Severity,Week 9,2023,,1,,,,,
D,Quay Walker,QW-8305,Green Bay Packers,Groin Strain,groin,lower body,Low Severity,Week 9,2023,2,3,,,,,
D,Kenneth Murray,KM-3475,Los Angeles Chargers,Shoulder,shoulder,upper body,Low Severity,Week 9,2023,3,4,,,,,
D,Eric Kendricks,EK-0250,Los Angeles Chargers,Ribs,rib,upper body,Low Severity,Week 9,2023,,1,,,,,
D,Divine Deablo,DD-5526,Las Vegas Raiders,Ankle,ankle,lower body,Low Severity,Week 7,2023,2,4,,,,,
O,Duane Brown,DB-4900,New York Jets,Shoulder,shoulder,upper body,Low Severity,Week 2,2023,7,7,,,,,
O,Laken Tomlinson,LT-0650,New York Jets,Hamstring Strain,hamstring,lower body,Low Severity,Week 9,2023,,1,,,,,
O,Allen Lazard,AL-0387,New York Jets,Knee Soreness,knee,lower body,Low Severity,Week 9,2023,,2,,,,,
O,Mack Hollins,MH-3050,Atlanta Falcons,Ankle Sprain,ankle,lower body,Medium Severity,Week 10,2023,3,4,,,,,
O,Odell Beckham,OB-0075,Baltimore Ravens,Knee Soreness,knee,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Tarik Cohen,TC-1975,Carolina Panthers,Hamstring Strain,leg,lower body,High Severity,Week 10,2023,1,1,,,,,
O,Stephen Sullivan,SS-3175,Carolina Panthers,Shoulder Sprain,shoulder,upper body,Low Severity,Week 10,2023,1,4,,,,,
O,Equanimeous St. Brown,ES-1175,Chicago Bears,Hamstring Strain,leg,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Charlie Jones,CJ-0113,Cincinnati Bengals,Broken Thumb,thumb,upper body,Low Severity,Week 4,2023,6,7,,,,,
,,#N/A,,,,,,,,,,,,,,
O,Ja'Marr Chase,JC-9961,Cincinnati Bengals,Back Soreness,back,upper body,Low Severity,Week 10,2023,,1,,,,,
O,Pierre Strong,PS-5961,Cleveland Browns ,Hamstring Strain,leg,lower body,Low Severity,Week 10,2023,,2,,,,,
O,Marquise Goodwin,MG-1050,Cleveland Browns ,Concussion,head,upper body,Medium Severity,Week 10,2023,4,5,,,,,
O,KaVontae Turpin,KT-0112,Dallas Cowboys,Shoulder Bruise,shoulder,upper body,Low Severity,Week 10,2023,,2,,,,,
O,Donovan Peoples-Jones,DP-1125,Detroit Lions,Bruised Ribs,abdomen,upper body,Low Severity,Week 10,2023,,2,,,,,
O,Nico Collins,NC-9919,Houston Texans,Calf strain,calf,lower body,Low Severity,Week 10,2023,2,4,,,,,
O,Andrew Ogletree,AO-0110,Indianapolis Colts,Foot Sprain,foot,lower body,Medium Severity,Week 10,2023,2,3,,,,,
O,Austin Hooper,AH-3650,Las Vegas Raiders,Calf Strain,calf,lower body,Low Severity,Week 10,2023,,1,,,,,
O,T.J. Hockenson,TH-1875,Minnesota Vikings,Bruised Ribs,abdomen,upper body,Low Severity,Week 10,2023,,2,,,,,
O,K.J. Osborn,KO-0725,Minnesota Vikings,Concussion,head,upper body,Low Severity,Week 10,2023,1,2,,,,,
O,Cam Akers,CA-0325,Minnesota Vikings,Achilles Tear,achilles,lower body,High Severity,Week 10,2023,8,8,,Yes,,Yes,
O,Jaren Hall,JH-0224,Minnesota Vikings,Concussion,head,upper body,Low Severity,Week 10,2023,2,2,,,,,
O,Johnny Mundt,JM-6775,Minnesota Vikings,Knee Soreness,knee,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Demario Douglas,DD-2223,New England Patriots,Ankle Sprain,ankle,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Kendre Miller,KM-0222,New Orleans Saints,Ankle Sprain,ankle,lower body,Medium Severity,Week 10,2023,7,8,,,,,
O,Parris Campbell,PC-0050,New York Giants,Hamstring Strain,hamstring,lower body,Medium Severity,Week 10,2023,4,6,,,,,
O,Deon Jackson,DJ-9986,New York Giants,Concussion,head,upper body,Low Severity,Week 10,2023,1,2,,,,,
O,Daniel Jones,DJ-2275,New York Giants,Torn ACL,knee,lower body,High Severity,Week 10,2023,8,8,,Yes,,Yes,
O,Jeremy Ruckert,JR-2445,New York Jets,Shoulder Soreness,shoulder,upper body,Low Severity,Week 10,2023,,1,,,,,
O,Dareke Young,DY-0110,Seattle Seahawks,Groin Strain,groin,lower body,Medium Severity,Week 10,2023,2,4,,,,,
O,Colby Parkinson,CP-0587,Seattle Seahawks,Biceps Strain,biceps,upper body,Low Severity,Week 10,2023,,1,,,,,
O,Jaxon Smith-Njigba,JS-7857,Seattle Seahawks,Hip Soreness,hip,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Kenneth Walker,KW-2389,Seattle Seahawks,Chest Soreness,chest,upper body,Low Severity,Week 10,2023,,1,,,,,
O,DeeJay Dallas,DD-0043,Seattle Seahawks,Bruised Shoulder,shoulder,upper body,Low Severity,Week 10,2023,,1,,,,,
O,Trey Palmer,TP-0222,Tampa Bay Buccaneers ,Neck Soreness,neck,upper body,Low Severity,Week 10,2023,,1,,,,,
O,Treylon Burks,TB-8372,Tennessee Titans,Concussion,head,upper body,Medium Severity,Week 10,2023,3,4,,,,,
D,Xavier Woods,XW-0200,Carolina Panthers,Thigh,leg,lower body,Low Severity,Week 10,2023,,2,,,,,
D,Brian Burns,BB-3875,Carolina Panthers,Concussion,head,upper body,Low Severity,Week 10,2023,1,1,,,,,
D,C.J. Henderson,CH-2368,Carolina Panthers,Concussion,head,upper body,Low Severity,Week 10,2023,3,3,,,,,
D,Luiji Villain,LV-0234,Carolina Panthers,Knee,knee,lower body,Medium Severity,Week 10,2023,8,,,,,Yes,
D,Chandler Wooten,CW-0115,Carolina Panthers,Ankle Sprain,ankle,lower body,Medium Severity,Week 10,2023,8,,,,,Yes,
O,Khari Blasingame,KB-1225,Chicago Bears,Concussion,head,upper body,Low Severity,Week 10,2023,1,1,,,,,
D,Christian Benford,CB-0111,Buffalo Bills,Hamstring Strain,hamstring,lower body,Low Severity,Week 10,2023,,1,,,,,
D,Terrel Bernard,TB-4701,Buffalo Bills,Concussion,head,upper body,Low Severity,Week 10,2023,,1,,,,,
D,Micah Hyde,MH-4000,Buffalo Bills,Stinger,neck,upper body,Low Severity,Week 10,2023,3,3,,,,,
D,Sam Hubbard,SH-1393,Cincinnati Bengals,Ankle Sprain,ankle,lower body,Low Severity,Week 10,2023,2,2,,,,,
O,Jedrick Wills,JW-4918,Cleveland Browns ,MCL Sprain,knee,lower body,Medium Severity,Week 10,2023,7,,,,,Yes,
O,Frank Ragnow,FR-0025,Detroit Lions,Toe,toe,lower body,Low Severity,Week 8,2023,1,1,,,,,
D,Jaire Alexander,JA-0475,Green Bay Packers,Shoulder,shoulder,upper body,Low Severity,Week 9,2023,6,6,,,,,
D,Kenny Clark,KC-1225,Green Bay Packers,Shoulder,shoulder,upper body,Low Severity,Week 10,2023,,1,,,,,
D,Hassan Ridgeway,HR-0100,Houston Texans,Achilles Tear,achilles,lower body,High Severity,Week 10,2023,9,,,,,Yes,
D,Jake Hansen,JH-0110,Houston Texans,Hand,hand,upper body,Medium Severity,Week 10,2023,3,3,,,,,
D,Marcus Peters,MP-0950,Las Vegas Raiders,Knee,knee,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Kolton Miller,KM-1812,Las Vegas Raiders,Shoulder,shoulder,upper body,Low Severity,Week 10,2023,3,4,,,,,
D,Christian Darrisaw,CD-6486,Minnesota Vikings,Groin Strain,groin,lower body,Low Severity,Week 10,2023,,1,,,,,
D,J.C. Jackson,JJ-0050,New England Patriots,Personal,,#N/A,Low Severity,Week 10,2023,5,5,,,,,
O,Trent Brown,TB-3250,New England Patriots,Ankle,ankle,lower body,Low Severity,Week 9,2023,4,7,,,,,
D,Azeez Ojulari,AO-1120,New York Giants,Ankle,ankle,lower body,Low Severity,Week 10,2023,,1,,,,,
D,Adoree' Jackson,AJ-0050,New York Giants,Concussion,head,upper body,Low Severity,Week 10,2023,2,2,,,,,
D,Cole Holcomb,CH-3475,Pittsburgh Steelers,Knee,knee,lower body,High Severity,Week 10,2023,9,,,Yes,,Yes,
D,Jordyn Brooks,JB-6150,Seattle Seahawks,Hamstring Strain,hamstring,lower body,Low Severity,Week 10,2023,,1,,,,,
D,Carlton Davis,CD-0687,Tampa Bay Buccaneers,Toe,toe,lower body,Low Severity,Week 10,2023,1,2,,,,,
D,Jamel Dean,JD-1175,Tampa Bay Buccaneers,Concussion,head,upper body,Low Severity,Week 10,2023,,1,,,,,
D,Sean Murphy-Bunting,SB-1950,Tennessee Titans,Thumb,thumb,upper body,Low Severity,Week 10,2023,2,2,,,,,
O,Stefon Diggs,SD-0537,Buffalo Bills,Back Soreness,back,upper body,Low Severity,Week 10,2023,,1,,,,,
O,Tee Higgins,TH-1575,Cincinnati Bengals,Hamstring Strain,leg,lower body,Medium Severity,Week 10,2023,4,5,,,,,
D,Marlon Humphrey,MH-3742,Baltimore Ravens,Hamstring Strain,hamstring,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Dawand Jones,DJ-0223,Cleveland Browns ,Knee,knee,lower body,Low Severity,Week 10,2023,3,4,,,,,
D,Jimmie Ward,JW-0750,Houston Texans,Hamstring Strain,hamstring,lower body,Low Severity,Week 10,2023,3,3,,,,,
D,Jerry Hughes,JH-5900,Houston Texans,Back,back,upper body,Low Severity,Week 10,2023,,1,,,,,
D,Henry To'o To'o,#N/A,Houston Texans,Concussion,head,upper body,Low Severity,Week 10,2023,2,2,,,,,
O,Evan Neal,EN-2487,New York Giants,Ankle Sprain,ankle,lower body,Medium Severity,Week 10,2023,9,6,,,,Yes,
D,Will McDonald,WM-7777,New York Jets,Ankle Sprain,ankle,lower body,Low Severity,Week 10,2023,,1,,,,,
D,Javon Hargrave,JH-1375,San Francisco 49ers,Knee,knee,lower body,Low Severity,Week 10,2023,,1,,,,,
O,Nicholas Petit-Frere,NP-2301,Tennessee Titans,Shoulder,shoulder,upper body,Low Severity,Week 10,2023,1,1,,,,,
O,Noah Brown,NB-0750,Houston Texans,Groin Strain,groin,lower body,Medium Severity,Week 1,2023,4,4,,,,Yes,
O,Zach Pascal,ZP-0050,Arizona Cardinals,Hamstring Strain,hamstring,lower body,Low Severity,Week 11,2023,1,2,,,,,
O,Devin Duvernay,DD-2975,Baltimore Ravens,Hamstring Strain,hamstring,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Trent Sherfield,TS-1425,Buffalo Bills,Ankle Sprain,ankle,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Hayden Hurst,HH-0350,Carolina Panthers,Concussion,head,upper body,High Severity,Week 11,2023,7,5,,,,Yes,
O,D'Onta Foreman,DF-1362,Chicago Bears,Ankle Soreness,ankle,lower body,Low Severity,Week 11,2023,1,3,,,,,
O,Andrei Iosivas,AI-0111,Cincinnati Bengals,Knee Bruise,knee,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Amari Cooper,AC-2350,Cleveland Browns ,Knee Soreness,knee,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Deshaun Watson,DW-1725,Cleveland Browns ,Shoulder Fracture,shoulder,upper body,High Severity,Week 11,2023,8,8,,,,,
O,Rico Dowdle,RD-0105,Dallas Cowboys,Ankle Bruise,ankle,lower body,Medium Severity,Week 11,2023,1,6,,,,,
O,Jalen Tolbert,JT-8466,Dallas Cowboys,Knee Soreness,knee,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Marvin Mims,MM-7295,Denver Broncos,Ankle Sprain,ankle,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Kalif Raymond,KR-0312,Detroit Lions,Ankle Soreness,ankle,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Christian Watson,CW-4091,Green Bay Packers,Shoulder Soreness,shoulder,upper body,Low Severity,Week 11,2023,,2,,,,,
O,Dalton Schultz,DS-0850,Houston Texans,Hamstring Strain,hamstring,lower body,Low Severity,Week 11,2023,2,2,,,,,
O,Noah Brown,NB-0750,Houston Texans,Knee contusion,knee,lower body,Low Severity,Week 11,2023,2,4,,,,,
O,Jamal Agnew,JA-0425,Jacksonville Jaguars,Bruised Shoulder/Ribs,abdomen,upper body,Low Severity,Week 11,2023,1,2,,,,,
O,Gerald Everett,GE-0400,Los Angeles Chargers,shoulder,shoulder,upper body,Low Severity,Week 11,2023,1,3,,,,,
O,Keenan Allen,KA-0650,Los Angeles Chargers,Shoulder Sprain,shoulder,upper body,Low Severity,Week 11,2023,,2,,,,,
O,Donald Parham,DP-0250,Los Angeles Chargers,Bruised Hip,hip,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Chase Claypool,CC-2187,Miami Dolphins,Knee Soreness,knee,lower body,Medium Severity,Week 11,2023,3,3,,,,,
O,Salvon Ahmed,SA-0325,Miami Dolphins,Bruised Ribs,abdomen,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Jaylen Waddle,JW-9961,Miami Dolphins,Knee Soreness,knee,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Alexander Mattison,AM-0825,Minnesota Vikings,Concussion,head,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Nick Mullens,NM-0687,Minnesota Vikings,Bruised Back,back,upper body,Medium Severity,Week 5,2023,4,5,,,,,
O,Joshua Dobbs,JD-2250,Minnesota Vikings,Ankle Soreness,ankle,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Jalin Hyatt,JH-0222,New York Giants,Concussion,head,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Kenny Yeboah,KY-9947,New York Jets,Hamstring Strain,hamstring,lower body,Medium Severity,Week 11,2023,,1,,,,,
O,Garrett Wilson,GW-1500,New York Jets,Elbow Soreness,elbow,upper body,Low Severity,Week 11,2023,,2,,,,,
O,Diontae Johnson,DJ-1675,Pittsburgh Steelers,Sprained Thumb,hand,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Mike Evans,ME-0600,Tampa Bay Buccaneers,Quad Strain,quad,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Will Levis,WL-1245,Tennessee Titans,Ankle Bruise,ankle,lower body,Low Severity,Week 11,2023,,3,,,,,
O,Antonio Gibson,AG-0725,Washington Commanders,Toe Soreness,foot,lower body,Low Severity,Week 11,2023,1,2,,,,,
O,Alex Armah,AA-0557,Washington Commanders,Hamstring Strain,hamstring,lower body,Medium Severity,Week 11,2023,2,3,,,,,
O,Scott Quessenberry,SQ-0200,Houston Texans,Torn ACL/MCL,knee,lower body,High Severity,Preseason,2023,17,,,,,,
D,Denzel Perryman,DP-1250,Houston Texans,Suspension,,#N/A,Low Severity,Week 11,2023,2,,,,,,
D,Jordan Hicks,JH-3675,Minnesota Vikings,Lower Leg Contusion,leg,lower body,Medium Severity,Week 11,2023,5,,,Yes,,Yes,
D,Kwon Alexander,KA-0625,Pittsburgh Steelers,Achilles Tear,achilles,lower body,High Severity,Week 11,2023,8,,,,,Yes,
O,Nick Zakelj,NZ-5609,San Francisco 49ers,Torn Bicep,biceps,upper body,High Severity,Week 11,2023,8,,,,,Yes,
D,Marlon Humphrey,MH-3742,Baltimore Ravens,Calf Strain,calf,lower body,Low Severity,Week 11,2023,4,5,,,,,
D,Kyle Van Noy,KV-0075,Baltimore Ravens,Groin Strain,groin,lower body,Low Severity,Week 11,2023,,1,,,,,
D,Trenton Simpson,TS-0225,Baltimore Ravens,Concussion,head,upper body,Low Severity,Week 11,2023,2,2,,,,,
O,Dallas Goedert,DG-1287,Philadelphia Eagles,Broken Arm,arm,upper body,Medium Severity,Week 10,2023,3,4,,Yes,,Yes,
O,Jalen Guyton,JG-4200,Los Angeles Chargers,Groin Strain,groin,lower body,Low Severity,Week 11,2023,1,2,,,,,
O,Isaiah Spiller,IS-3247,Los Angeles Chargers,Illness,abdomen,upper body,Low Severity,Week 11,2023,1,1,,,,,
O,Dareke Young,DY-0110,Seattle Seahawks,Abdominal strain,abdomen,upper body,Low Severity,Week 11,2023,1,1,,,,,
D,Michael Carter,MC-8887,New York Jets,Hamstring Strain,hamstring,lower body,Low Severity,Week 11,2023,2,2,,,,,
D,Jonathan Ledbetter,JL-0775,Arizona Cardinals,Shoulder,shoulder,upper body,Low Severity,Week 11,2023,1,2,,,,,
D,Noah Sewell,NS-0223,Chicago Bears,Knee,knee,lower body,Low Severity,Week 11,2023,3,3,,,,,
D,Juan Thornhill,JT-2650,Cleveland Browns ,Calf Strain,calf,lower body,Low Severity,Week 11,2023,4,6,,,,,
D,P.J. Locke,PL-0113,Denver Broncos,Ankle Sprain,ankle,lower body,Low Severity,Week 11,2023,1,1,,,,,
O,Jonah Jackson,JJ-0450,Detroit Lions,Ankle Sprain,ankle,lower body,Low Severity,Week 7,2023,4,5,,,,,
D,Rashan Gary,RG-0450,Green Bay Packers,Shoulder,shoulder,upper body,Low Severity,Week 11,2023,,2,,,,,
D,Akayleb Evans,AE-5045,Minnesota Vikings,Calf Strain,calf,lower body,Low Severity,Week 11,2023,1,2,,,,,
D,Montravius Adams,MA-0275,Pittsburgh Steelers,Ankle,ankle,lower body,Low Severity,Week 10,2023,4,4,,,,,
D,Keanu Neal,KN-0125,Pittsburgh Steelers,Rib,rib,upper body,Low Severity,Week 11,2023,6,1,,,,Yes,
O,Andre Dillard,AD-1181,Tennessee Titans,Concussion,head,upper body,Low Severity,Week 11,2023,1,1,,,,,
D,Will Anderson,WA-0222,Houston Texans,Knee,knee,lower body,Low Severity,Week 11,2023,,1,,,,,
D,Devin White,DW-2375,Tampa Bay Buccaneers,Foot,foot,lower body,Low Severity,Week 11,2023,2,3,,,,,
D,Jack Sanborn,JS-0110,Chicago Bears,Ankle Sprain,ankle,lower body,Low Severity,Week 11,2023,,1,,,,,
D,Kwity Paye,KP-5146,Indianapolis Colts,Hamstring Strain,hamstring,lower body,Low Severity,Week 11,2023,,1,,,,,
D,Ryan Neal,RN-0087,Tampa Bay Buccaneers,Knee,knee,lower body,Low Severity,Week 11,2023,1,1,,,,,
D,Marshon Lattimore,ML-0375,New Orleans Saints,Ankle Sprain,ankle,lower body,Low Severity,Week 11,2023,4,1,,,,,
D,Jayron Kearse,JK-0225,Dallas Cowboys,Back,back,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,De'Vondre Campbell,DC-0325,Green Bay Packers,Neck,neck,upper body,Low Severity,Week 12,2023,3,5,,,,,
O,Jonah Jackson,JJ-0450,Detroit Lions,Wrist,wrist,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Coby Bryant,CB-7130,Seattle Seahawks,Toe,toe,lower body,High Severity,Week 2,2023,8,,,,,,
O,Spencer Burford,SB-6143,San Francisco 49ers,Knee,knee,lower body,Low Severity,Week 12,2023,3,3,,,,,
O,Aaron Banks,AB-4620,San Francisco 49ers,Toe,toe,lower body,Low Severity,Week 10,2023,1,3,,,,,
D,Talanoa Hufanga,TH-2211,San Francisco 49ers,Torn ACL,knee,lower body,High Severity,Week 11,2023,7,,,,,Yes,
D,Emmanuel Forbes,EF-0222,Washington Commanders,Elbow,elbow,upper body,Low Severity,Week 11,2023,2,3,,,,,
D,Efe Obada,EO-0050,Washington Commanders,Leg Fractures,leg,lower body,Low Severity,Week 12,2023,6,1,,,,Yes,
D,Cody Barton,CB-0750,Washington Commanders,Ankle Sprain,ankle,lower body,Low Severity,Week 12,2023,5,5,,,,,
D,Kyzir White,KW-0896,Arizona Cardinals,Torn Biceps,biceps,upper body,Medium Severity,Week 12,2023,6,,,,,Yes,
D,Leki Fotu,LF-0625,Arizona Cardinals,Broken Hand,hand,upper body,Medium Severity,Week 12,2023,5,,,,,Yes,
O,Austin Corbett,AC-2362,Carolina Panthers,Knee,knee,lower body,High Severity,Week 12,2023,7,,,,,Yes,
D,Rodney McLeod,RM-3050,Cleveland Browns ,Torn Biceps,biceps,upper body,High Severity,Week 12,2023,7,,,,,Yes,
D,Joey Bosa,JB-4450,Los Angeles Chargers,Foot Sprain,foot,lower body,Medium Severity,Week 11,2023,7,,,,,Yes,
D,Tanner Muse,TM-3481,Los Angeles Chargers,Knee,knee,lower body,Medium Severity,Week 12,2023,4,,,,,Yes,
D,Jaelan Phillips,JP-2146,Miami Dolphins,Torn Achilles,achilles,lower body,High Severity,Week 12,2023,6,,,,,,
D,Jalen Thompson,JT-2250,Arizona Cardinals,Back,back,upper body,Low Severity,Week 12,2023,,1,,,,,
D,Malik Harrison,MH-1080,Baltimore Ravens,Groin Strain,groin,lower body,Low Severity,Week 12,2023,2,2,,,,,
D,Dane Jackson,DJ-0025,Buffalo Bills,Concussion,head,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Taylor Rapp,TR-0075,Buffalo Bills,Neck,neck,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Yetur Gross-Matos,YG-0100,Carolina Panthers,Hamstring Strain,hamstring,lower body,Medium Severity,Week 7,2023,5,,,,,,
D,Cam Taylor-Britt,CT-3034,Cincinnati Bengals,Quad Strain,quad,lower body,Low Severity,Week 12,2023,4,4,,,,,
D,Denzel Ward,DW-0850,Cleveland Browns ,Shoulder,shoulder,upper body,Low Severity,Week 12,2023,4,4,,,,,
D,Dexter Lawrence,DL-0490,New York Giants,Hamstring Strain,hamstring,lower body,Low Severity,Week 12,2023,1,2,,,,,
O,Mekhi Becton,MB-1187,New York Jets,Ankle Sprain,ankle,lower body,Low Severity,Week 12,2023,1,1,,,,,
D,Milton Williams,MW-5976,Philadelphia Eagles,Concussion,head,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Jamel Dean,JD-1175,Tampa Bay Buccaneers,Ankle Sprain,ankle,lower body,Low Severity,Week 12,2023,3,4,,,,,
D,Lavonte David,LD-0150,Tampa Bay Buccaneers,Groin Strain,groin,lower body,Low Severity,Week 12,2023,2,2,,,,,
D,Damarion Williams,DW-0111,Baltimore Ravens,Ankle Sprain,ankle,lower body,High Severity,Week 12,2023,11,,,,,,
