Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
Miles Boykin,MB-3325,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 13,2019,0,1,,
Matt Breida,MB-3537,San Francisco 49ers,pectoral strain,chest,upper body,Low Severity,Preseason,2019,0,0,,
Matt Breida,MB-3537,San Francisco 49ers,ankle sprain,ankle,lower body,Medium Severity,Week 9,2019,3,4,,
Michael Brockers,MB-3650,Los Angeles Rams,ankle sprain,ankle,lower body,Low Severity,Week 17,2019,0,0,,
Malcolm Brown,MB-3862,Los Angeles Rams,ankle sprain,ankle,lower body,Low Severity,Week 3,2019,2,4,,
Marquise Brown,MB-4075,Baltimore Ravens,thigh strain,quad,lower body,Low Severity,Week 10,2019,0,1,,
Marquise Brown,MB-4075,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 5,2019,2,7,,
Morgan Burnett,MB-5100,Cleveland Browns,quadricep strain,quad,lower body,Low Severity,Week 2,2019,2,3,,
Morgan Burnett,MB-5100,Cleveland Browns,achilles tear,heel,lower body,High Severity,Week 11,2019,6,6,Achilles Tendon Repair Surgery,6-9 months
Malcolm Butler,MB-5250,Tennessee Titans,wrist fracture,wrist,upper body,High Severity,Week 9,2019,9,9,,
Maurice Canady,MC-0375,Baltimore Ravens,thigh strain,quad,lower body,Low Severity,Week 6,2019,2,2,,
Marcus Cannon,MC-0400,New England Patriots,ankle sprain,ankle,lower body,Low Severity,Week 16,2019,0,1,,
Marcus Cannon,MC-0400,New England Patriots,shoulder sprain,shoulder,upper body,Low Severity,Week 1,2019,1,1,,
Morris Claiborne,MC-1350,Kansas City Chiefs,shoulder sprain,shoulder,upper body,Medium Severity,Week 13,2019,4,4,,
Maxx Crosby,MC-3050,Oakland Raiders,hand fracture,hand,upper body,Low Severity,Preseason,2019,0,0,,
Mike Daniels,MD-0060,Green Bay Packers,arm strain,arm,upper body,Low Severity,Week 15,2019,2,2,,
Mike Daniels,MD-0060,Green Bay Packers,foot sprain,foot,lower body,Medium Severity,Week 3,2019,5,6,,
Marcell Dareus,MD-0100,Jacksonville Jaguars,elbow sprain,elbow,upper body,Low Severity,Preseason,2019,1,1,,
Marcell Dareus,MD-0100,Jacksonville Jaguars,abdominal tear,abdomen,upper body,High Severity,Week 7,2019,9,9,Core Muscle Surgery,3-4 months
Michael Davis,MD-0137,Los Angeles Chargers,hamstring strain,hamstring,lower body,Low Severity,Week 2,2019,2,2,,
Mario Edwards,ME-0400,New York Giants,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,1,1,,
Mike Evans,ME-0600,Tampa Bay Buccaneers,hamstring strain,hamstring,lower body,Medium Severity,Week 14,2019,3,3,,
Matthias Farley,MF-0150,Indianapolis Colts,ankle sprain,ankle,lower body,Low Severity,Week 13,2019,1,2,,
Matthias Farley,MF-0150,Indianapolis Colts,quadricep strain,quad,lower body,Low Severity,Week 10,2019,2,3,,
Mark Fields,MF-0450,Minnesota Vikings,groin strain,groin,lower body,Low Severity,Week 1,2019,1,1,,
Michael Gallup,MG-0175,Dallas Cowboys,meniscus tear,knee,lower body,Medium Severity,Week 2,2019,2,5,Arthroscopic Meniscus Repair Surgery,2-4 weeks
Max Garcia,MG-0250,Arizona Cardinals,toe sprain,toe,lower body,Low Severity,Week 14,2019,0,1,,
Myles Gaskin,MG-0293,Miami Dolphins,high ankle sprain,ankle,lower body,Medium Severity,Week 16,2019,1,1,,
Marcus Gilbert,MG-0500,Arizona Cardinals,ACL tear,knee,lower body,High Severity,Preseason,2019,16,16,ACL Reconstruction Surgery,6-9 months
Matt Gono,MG-0943,Atlanta Falcons,back strain,back,upper body,Low Severity,Week 1,2019,2,3,,
Marquise Goodwin,MG-1050,San Francisco 49ers,foot sprain,foot,lower body,Medium Severity,Week 14,2019,3,3,,
Marquise Goodwin,MG-1050,San Francisco 49ers,knee sprain,knee,lower body,Medium Severity,Week 14,2019,5,5,,
Marvin Hall,MH-0225,Detroit Lions,foot sprain,foot,lower body,Medium Severity,Week 12,2019,5,5,,
Marquis Haynes,MH-2050,Carolina Panthers,knee sprain,knee,lower body,Medium Severity,Week 14,2019,3,3,,
Malik Hooker,MH-3250,Indianapolis Colts,foot sprain,foot,lower body,Low Severity,Week 14,2019,0,1,,
Malik Hooker,MH-3250,Indianapolis Colts,hand sprain,hand,upper body,Low Severity,Week 15,2019,0,1,,
Malik Hooker,MH-3250,Indianapolis Colts,meniscus tear,knee,lower body,Medium Severity,Week 3,2019,3,4,Meniscus Trim Surgery,4-6 weeks
Mike Hughes,MH-3715,Minnesota Vikings,knee sprain,knee,lower body,Low Severity,Preseason,2019,2,3,,
Mike Hughes,MH-3715,Minnesota Vikings,neck strain,neck,upper body,Medium Severity,Postseason,2019,2,2,,
Marlon Humphrey,MH-3742,Baltimore Ravens,thigh strain,quad,lower body,Low Severity,Week 13,2019,0,1,,
Marlon Humphrey,MH-3742,Baltimore Ravens,back strain,back,upper body,Low Severity,Week 2,2019,0,1,,
Michael Hunter,MH-3775,,groin strain,groin,lower body,Low Severity,Preseason,2019,,,,
Mark Ingram,MI-0100,Baltimore Ravens,calf strain,calf,lower body,Low Severity,Week 16,2019,1,2,,
Melvin Ingram,MI-0150,Los Angeles Chargers,hamstring strain,hamstring,lower body,Medium Severity,Week 4,2019,3,4,,
Mike Iupati,MI-0200,Seattle Seahawks,calf strain,calf,lower body,Low Severity,Preseason,2019,0,1,,
Mike Iupati,MI-0200,Seattle Seahawks,foot sprain,foot,lower body,Low Severity,Preseason,2019,0,4,,
Mike Iupati,MI-0200,Seattle Seahawks,knee sprain,knee,lower body,Low Severity,Week 9,2019,0,1,,
Mike Iupati,MI-0200,Seattle Seahawks,neck stinger,neck,upper body,Low Severity,Week 16,2019,2,2,,
Myles Jack,MJ-0015,Jacksonville Jaguars,knee sprain,knee,lower body,Medium Severity,Week 12,2019,5,5,,
Malik Jackson,MJ-0030,Jacksonville Jaguars,foot fracture,foot,lower body,High Severity,Week 1,2019,15,15,,
Malcolm Johnson,MJ-1175,Green Bay Packers,shoulder sprain,shoulder,upper body,High Severity,Preseason,2019,17,17,,
Marvin Jones,MJ-2250,Detroit Lions,ankle sprain,ankle,lower body,Medium Severity,Week 15,2019,3,3,,
Matt Judon,MJ-2700,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 12,2019,0,1,,
Matt Kalil,MK-0150,Houston Texans,foot contusion,foot,lower body,Low Severity,Preseason,2019,0,0,,
Marcus Kemp,MK-0715,Kansas City Chiefs,ACL & MCL tear,knee,lower body,High Severity,Preseason,2019,17,17,ACL Reconstruction Surgery,6-9 months
Mychal Kendricks,MK-0730,Seattle Seahawks,ACL tear,knee,lower body,High Severity,Week 17,2019,2,2,ACL Reconstruction Surgery,6-9 months
