Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
Roquan Smith,RS-2250,Chicago Bears,pectoral tear,chest,upper body,High Severity,Week 14,2019,3,3,Pectoral Repair Surgery,4-6 months
Ronnie Stanley,RS-2650,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 12,2019,0,1,,
Ronnie Stanley,RS-2650,Baltimore Ravens,knee sprain,knee,lower body,Low Severity,Week 7,2019,0,3,,
Ronnie Stanley,RS-2650,Baltimore Ravens,concussion,head,upper body,Low Severity,Week 15,2019,1,2,,
Ryan Switzer,RS-3525,Pittsburgh Steelers,back strain,back,upper body,High Severity,Week 10,2019,7,7,,
Roderic Teamer,RT-0425,Los Angeles Chargers,groin strain,groin,lower body,Low Severity,Week 8,2019,2,3,,
Roderic Teamer,RT-0425,Los Angeles Chargers,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,2,2,,
Robert Tonyan,RT-1250,Green Bay Packers,hip sprain,hip,lower body,Medium Severity,Week 5,2019,5,6,Core Muscle Surgery,2-3 months
Ricky Wagner,RW-0150,Detroit Lions,knee sprain,knee,lower body,Low Severity,Week 7,2019,0,1,,
Ricky Wagner,RW-0150,Detroit Lions,concussion,head,upper body,Low Severity,Week 10,2019,1,1,,
Ricky Wagner,RW-0150,Detroit Lions,knee sprain,knee,lower body,Medium Severity,Week 15,2019,3,3,,
Renell Wren,RW-4150,Cincinnati Bengals,hip strain,hip,lower body,Medium Severity,Week 14,2019,3,3,,
Rock Ya-Sin,RY-0050,Indianapolis Colts,ankle sprain,ankle,lower body,Low Severity,Week 11,2019,1,3,,
Ronald Zamort,RZ-0100,,ankle sprain,ankle,lower body,Low Severity,Preseason,2019,16,16,,
Saquon Barkley,SB-0212,New York Giants,high ankle sprain,ankle,lower body,Medium Severity,Week 3,2019,3,5,,
Sam Beal,SB-0325,New York Giants,shoulder sprain,neck,upper body,Low Severity,Week 16,2019,1,1,,
Sean Bunting,SB-1950,Tampa Bay Buccaneers,knee sprain,knee,lower body,Low Severity,Week 12,2019,0,1,,
Sean Murphy-Bunting,SB-1950,Tampa Bay Buccaneers,ankle sprain,ankle,lower body,Low Severity,Week 17,2019,0,0,,
Shon Coleman,SC-0950,San Francisco 49ers,ankle dislocation & fibula fracture,ankle,lower body,High Severity,Preseason,2019,17,17,,
Sean Culkin,SC-1850,Los Angeles Chargers,Achilles tendon tear,achilles,lower body,High Severity,Week 4,2019,12,12,,
Sam Darnold,SD-0175,New York Jets,ligament tear non-throwing hand,thumb,upper body,Low Severity,Week 8,2019,0,0,Thumb Ligament Repair Surgery,2-4 weeks
Sean Davis,SD-0250,Pittsburgh Steelers,ankle sprain,ankle,lower body,Low Severity,Preseason,2019,1,1,,
Sean Davis,SD-0250,Pittsburgh Steelers,labrum tear,shoulder,upper body,High Severity,Week 2,2019,14,14,Labrum Surgery,4-6 months
Seth Devalve,SD-0534,Jacksonville Jaguars,oblique strain,oblique,upper body,Medium Severity,Week 11,2019,4,4,,
Stefon Diggs,SD-0537,Minnesota Vikings,hamstring strain,hamstring,lower body,Low Severity,Week 1,2019,0,1,,
Sharif Finch,SF-0125,Tennessee Titans,shoulder sprain,shoulder,upper body,Low Severity,Week 5,2019,3,3,,
Shaquill Griffin,SG-1600,Seattle Seahawks,hamstring strain,hamstring,lower body,Low Severity,Week 14,2019,2,2,,
Shelby Harris,SH-0150,Denver Broncos,ankle sprain,ankle,lower body,Low Severity,Week 12,2019,0,1,,
Seantrel Henderson,SH-0650,Houston Texans,wrist sprain,wrist,upper body,Low Severity,Week 3,2019,2,2,,
Seantrel Henderson,SH-0650,Houston Texans,back sprain,back,upper body,Medium Severity,Week 7,2019,4,4,,
Sam Hubbard,SH-1393,Cincinnati Bengals,knee sprain,knee,lower body,Low Severity,Week 13,2019,1,1,,
Steve Ishmael,SI-0250,Indianapolis Colts,knee sprain,knee,lower body,High Severity,Preseason,2019,16,16,,
Sidney Jones,SJ-0775,Philadelphia Eagles,hamstring strain,hamstring,lower body,Low Severity,Week 4,2019,1,1,,
Senio Kelemete,SK-0150,Houston Texans,wrist sprain,wrist,upper body,High Severity,Week 1,2019,18,18,Wrist Repair Surgery,4-6 months
Shaq Lawson,SL-0350,Buffalo Bills,hamstring strain,hamstring,lower body,Low Severity,Week 16,2019,1,2,,
Sean Lee,SL-0500,Dallas Cowboys,MCL sprain,knee,lower body,Low Severity,Preseason,2019,0,0,,
Sean Lee,SL-0500,Dallas Cowboys,pectoral strain,chest,upper body,Low Severity,Week 14,2019,0,1,,
Spencer Long,SL-0925,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 4,2019,1,2,,
Steve Longa,SL-0937,Detroit Lions,quad strain,quad,lower body,Low Severity,Week 16,2019,0,1,,
Shaquille Mason,SM-0850,New England Patriots,ankle sprain,ankle,lower body,Low Severity,Week 8,2019,1,2,,
Steve McLendon,SM-2200,New York Jets,hamstring strain,hamstring,lower body,Low Severity,Week 6,2019,0,4,,
Steve McLendon,SM-2200,New York Jets,hip strain,hip,lower body,Low Severity,Week 2,2019,0,2,,
Steve McLendon,SM-2200,New York Jets,knee sprain,knee,lower body,Low Severity,Week 13,2019,0,4,,
Steve McLendon,SM-2200,New York Jets,neck strain,neck,upper body,Low Severity,Week 9,2019,0,3,,
Sherrick McManis,SM-2300,Chicago Bears,concussion,head,upper body,Low Severity,Week 1,2019,2,2,,
Sherrick McManis,SM-2300,Chicago Bears,groin strain,groin,lower body,Medium Severity,Week 12,2019,5,5,,
Steven Means,SM-2450,Atlanta Falcons,achilles tear,achilles,lower body,High Severity,Preseason,2019,16,16,Achilles Tendon Repair Surgery,6-9 months
Scott Miller,SM-2653,Tampa Bay Buccaneers,hamstring strain,hamstring,lower body,High Severity,Week 13,2019,4,4,,
Stanley Morgan,SM-3250,Cincinnati Bengals,concussion,head,upper body,Low Severity,Week 17,2019,1,1,,
Siran Neal,SN-0150,Buffalo Bills,concussion,head,upper body,Low Severity,Week 11,2019,1,1,,
Sharrod Neasman,SN-0300,Atlanta Falcons,shoulder sprain,shoulder,upper body,Low Severity,Week 12,2019,1,2,,
Steven Nelson,SN-0450,Pittsburgh Steelers,groin strain,groin,lower body,Low Severity,Week 5,2019,1,1,,
Steven Parker,SP-0425,Miami Dolphins,groin strain,groin,lower body,Low Severity,Week 12,2019,1,1,,
Shawn Poindexter,SP-1425,San Francisco 49ers,ACL tear,knee,lower body,High Severity,Preseason,2019,17,17,,
Sheldon Rankins,SR-0050,New Orleans Saints,ankle sprain,ankle,lower body,Low Severity,Week 14,2019,,,,
Sheldrick Redwine,SR-0375,Cleveland Browns,hamstring strain,hamstring,lower body,Medium Severity,Week 2,2019,4,4,,
Sheldon Richardson,SR-0670,Cleveland Browns,back strain,back,upper body,Low Severity,Week 15,2019,0,2,,
Seth Roberts,SR-0750,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Postseason,2019,0,1,,
Seth Roberts,SR-0750,Baltimore Ravens,knee sprain,knee,lower body,Low Severity,Week 13,2019,0,1,,
Sterling Shepard,SS-1250,New York Giants,finger fracture,finger,upper body,Medium Severity,Preseason,2019,0,0,,
Sterling Shepard,SS-1250,New York Giants,concussion,head,upper body,Low Severity,Week 1,2019,1,1,,
Sterling Shepard,SS-1250,New York Giants,concussion,head,upper body,Medium Severity,Week 5,2019,5,5,,
Scott Simonson,SS-1525,New York Giants,concussion,head,upper body,Low Severity,Week 17,2019,1,1,,
Scott Simonson,SS-1525,New York Giants,high ankle sprain,ankle,lower body,High Severity,Preseason,2019,8,8,,
Steven Sims,SS-1537,Washington Redskins,toe sprain,toe,lower body,Low Severity,Week 8,2019,0,1,,
Sione Takitaki,ST-0025,Cleveland Browns,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,1,1,,
Shakial Taylor,ST-0150,Denver Broncos,ankle sprain,ankle,lower body,Low Severity,Week 11,2019,1,1,,
Sam Tevi,ST-0375,Los Angeles Chargers,ankle sprain,ankle,lower body,Low Severity,Week 17,2019,0,1,,
Sam Tevi,ST-0375,Los Angeles Chargers,meniscus tear,knee,lower body,Medium Severity,Week 10,2019,2,3,Arthroscopic Meniscus Repair Surgery,2-4 weeks
Shaq Thompson,ST-0550,Carolina Panthers,ankle sprain,ankle,lower body,Low Severity,Week 15,2019,2,2,,
Stephon Tuitt,ST-1150,Pittsburgh Steelers,pectoral tear,chest,upper body,High Severity,Week 6,2019,10,10,Pectoral Repair Surgery,4-6 months
Spencer Ware,SW-0350,Indianapolis Colts,ankle sprain,ankle,lower body,Medium Severity,Preseason,2019,0,0,Ankle Repair Surgery,6-8 weeks
Spencer Ware,SW-0350,Kansas City Chiefs,shoulder sprain,shoulder,upper body,Medium Severity,Week 16,2019,2,2,,
Sammy Watkins,SW-0450,Kansas City Chiefs,shoulder sprain,shoulder,upper body,Low Severity,Week 5,2019,0,1,,
Sammy Watkins,SW-0450,Kansas City Chiefs,hamstring strain,hamstring,lower body,Low Severity,Week 5,2019,2,2,,
Troy Apke,TA-0812,Washington Redskins,knee sprain,knee,lower body,Low Severity,Week 16,2019,1,1,,
Terron Armstead,TA-0850,New Orleans Saints,knee sprain,knee,lower body,Low Severity,Week 4,2019,0,1,,
Terron Armstead,TA-0850,New Orleans Saints,wrist sprain,wrist,upper body,Low Severity,Postseason,2019,0,1,,
Terron Armstead,TA-0850,New Orleans Saints,high ankle sprain,ankle,lower body,Low Severity,Week 12,2019,1,2,,
Tavon Austin,TA-1050,Dallas Cowboys,concussion,head,upper body,Low Severity,Week 1,2019,2,3,,
Travis Benjamin,TB-1060,Los Angeles Chargers,hip strain,hip,lower body,Low Severity,Week 4,2019,1,2,,
Travis Benjamin,TB-1060,Los Angeles Chargers,quadriceps strain,quad,lower body,High Severity,Week 7,2019,10,10,,
Tashawn Bower,TB-2012,New England Patriots,Achilles tendon tear,achilles,lower body,High Severity,Preseason,2019,16,16,Achilles Tendon Repair Surgery,6-9 months
Tyus Bowser,TB-2025,Baltimore Ravens,groin strain,groin,lower body,Low Severity,Week 2,2019,0,1,,
Tom Brady,TB-2300,New England Patriots,right elbow sprain,elbow,upper body,Low Severity,Week 12,2019,0,1,,
Tramaine Brock,TB-2700,Arizona Cardinals,hamstring strain,hamstring,lower body,Low Severity,Week 9,2019,2,2,,
Terrence Brooks,TB-2750,New England Patriots,groin strain,groin,lower body,Low Severity,Week 16,2019,1,2,,
Tony Brown,TB-3100,Green Bay Packers,heel strain,heel,lower body,Low Severity,Week 12,2019,1,1,,
Tony Brown,TB-3100,Green Bay Packers,hamstring strain,hamstring,lower body,Low Severity,Week 4,2019,3,4,,
Trent Brown,TB-3250,Oakland Raiders,knee sprain,knee,lower body,Low Severity,Week 11,2019,0,2,,
Trent Brown,TB-3250,Oakland Raiders,calf strain,calf,lower body,Low Severity,Week 7,2019,1,2,,
Trent Brown,TB-3250,Oakland Raiders,pectoral strain,chest,upper body,Medium Severity,Week 14,2019,4,4,,
Trey Burton,TB-3950,Chicago Bears,groin strain,groin,lower body,Low Severity,Week 1,2019,1,4,,
Trey Burton,TB-3950,Chicago Bears,calf strain,calf,lower body,High Severity,Week 11,2019,7,7,,
Trenton Cannon,TC-0325,New York Jets,foot sprain,foot,lower body,High Severity,Week 6,2019,11,11,,
Tra Carson,TC-0450,Detroit Lions,hamstring strain,hamstring,lower body,High Severity,Week 9,2019,9,9,,
Taco Charlton,TC-1262,Dallas Cowboys,elbow sprain,elbow,upper body,Low Severity,Week 10,2019,1,2,,
Taco Charlton,TC-1262,Dallas Cowboys,ankle sprain,elbow,upper body,Low Severity,Week 15,2019,2,2,,
T.J. Clemmings,TC-1625,Chicago Bears,quadriceps strain,quad,lower body,High Severity,Preseason,2019,16,16,,
Tevin Coleman,TC-2050,San Francisco 49ers,shoulder dislocation,shoulder,upper body,Low Severity,Postseason,2019,0,1,,
Tevin Coleman,TC-2050,San Francisco 49ers,high ankle sprain,ankle,lower body,Low Severity,Week 1,2019,2,3,,
Tom Compton,TC-2350,New York Jets,calf strain,calf,lower body,Low Severity,Week 16,2019,2,2,,
Tyler Conklin,TC-2375,Minnesota Vikings,ribs strain,rib,upper body,Low Severity,Week 1,2019,1,2,,
Tyrone Crawford,TC-2950,Dallas Cowboys,hip strain,hip,lower body,Low Severity,Week 2,2019,2,3,,
Tae Davis,TD-0475,Cleveland Browns,concussion,head,upper body,Low Severity,Week 3,2019,2,2,,
Todd Davis,TD-0725,Denver Broncos,leg strain,leg,lower body,Low Severity,Week 17,2019,0,0,,
Todd Davis,TD-0725,Denver Broncos,calf strain,calf,lower body,Low Severity,Preseason,2019,2,3,,
Taylor Decker,TD-0950,Detroit Lions,back strain,back,upper body,Low Severity,Week 1,2019,1,2,,
Tre Flowers,TF-0725,Seattle Seahawks,neck strain,neck,upper body,Low Severity,Week 7,2019,1,1,,
Trey Flowers,TF-0750,New England Patriots,concussion,head,upper body,Low Severity,Week 11,2019,1,2,,
Taylor Gabriel,TG-0025,Chicago Bears,concussion,head,upper body,Low Severity,Week 3,2019,2,3,,
Taylor Gabriel,TG-0025,Chicago Bears,concussion,head,upper body,Medium Severity,Week 13,2019,5,5,,
Tashaun Gipson,TG-0950,Houston Texans,transverse process fracture,lower back,upper body,Medium Severity,Week 7,2019,4,6,,
Todd Gurley,TG-1950,Los Angeles Rams,quadriceps strain,quad,lower body,Low Severity,Week 5,2019,1,2,,
Tim Harris,TH-0575,San Francisco 49ers,groin strain,groin,lower body,High Severity,Preseason,2019,17,17,,
Trent Harris,TH-0650,New England Patriots,foot sprain,foot,lower body,Low Severity,Week 1,2019,1,3,,
Trent Harris,TH-0650,New England Patriots,foot sprain,foot,lower body,Low Severity,Preseason,2019,2,5,,
Trey Hendrickson,TH-1350,New Orleans Saints,neck strain,neck,upper body,Low Severity,Week 4,2019,3,3,,
Tre Herndon,TH-1450,Jacksonville Jaguars,shoulder sprain,shoulder,upper body,Low Severity,Week 12,2019,0,1,,
Tyler Higbee,TH-1550,Los Angeles Rams,knee sprain,knee,lower body,Low Severity,Week 11,2019,0,1,,
Tyler Higbee,TH-1550,Los Angeles Rams,lung contusion,lung,upper body,Low Severity,Week 2,2019,1,2,,
Troy Hill,TH-1650,Los Angeles Rams,thumb sprain,hand,upper body,Low Severity,Week 15,2019,2,2,,
Tyreek Hill,TH-1750,Kansas City Chiefs,hamstring strain,hamstring,lower body,Low Severity,Week 11,2019,0,1,,
Tyreek Hill,TH-1750,Kansas City Chiefs,sternoclavicular joint dislocation,clavicle,upper body,Medium Severity,Week 1,2019,4,5,,
T.Y. Hilton,TH-1850,Indianapolis Colts,quadriceps strain,quad,lower body,Low Severity,Week 3,2019,1,2,,
T.Y. Hilton,TH-1850,Indianapolis Colts,calf tear,calf,lower body,Medium Severity,Week 9,2019,5,6,,
T.J. Hockenson,TH-1875,Detroit Lions,shoulder sprain,shoulder,upper body,Low Severity,Week 12,2019,0,1,,
T.J. Hockenson,TH-1875,Detroit Lions,concussion,head,upper body,Low Severity,Week 4,2019,0,1,,
T.J. Hockenson,TH-1875,Detroit Lions,ankle sprain,ankle,lower body,Medium Severity,Week 13,2019,4,4,,
Travis Homer,TH-2337,Seattle Seahawks,quadriceps strain,quad,lower body,Low Severity,Week 4,2019,0,1,,
Tytus Howard,TH-2862,Houston Texans,meniscus tear,knee,lower body,High Severity,Week 6,2019,9,10,Meniscus Repair Surgery,8-12 weeks
Tanner Hudson,TH-2875,Tampa Bay Buccaneers,concussion,head,upper body,Low Severity,Week 16,2019,1,1,,
Tony Jefferson,TJ-0950,Baltimore Ravens,ACL tear,knee,lower body,High Severity,Week 5,2019,12,12,ACL Reconstruction Surgery,6-9 months
Timmy Jernigan,TJ-1025,Philadelphia Eagles,foot fracture,foot,lower body,Medium Severity,Week 2,2019,5,5,,
Taron Johnson,TJ-1250,Buffalo Bills,hamstring strain,hamstring,lower body,Medium Severity,Week 2,2019,4,5,,
Trumaine Johnson,TJ-2250,New York Jets,hamstring strain,hamstring,lower body,Low Severity,Week 1,2019,0,1,,
Trumaine Johnson,TJ-2250,New York Jets,ankle sprain,ankle,lower body,High Severity,Week 8,2019,9,9,,
Ty Johnson,TJ-2275,Detroit Lions,concussion,head,upper body,Low Severity,Week 10,2019,0,1,,
Taiwan Jones,TJ-2400,Houston Texans,hip sprain,hip,lower body,Low Severity,Week 6,2019,1,1,,
Taiwan Jones,TJ-2400,Houston Texans,hamstring strain,hamstring,lower body,Low Severity,Week 14,2019,2,3,,
Ted Karras,TK-0050,New England Patriots,MCL sprain,knee,lower body,Low Severity,Week 13,2019,1,2,,
Travis Kelce,TK-0150,Kansas City Chiefs,ankle sprain,ankle,lower body,High Severity,Preseason,2019,0,0,Ankle Ligament Repair Surgery,4-6 months
Travis Kelce,TK-0150,Kansas City Chiefs,IT band syndrome,knee,lower body,Low Severity,Postseason,2019,0,1,,
Tyler Kroft,TK-0850,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 3,2019,2,3,,
Tyler Kroft,TK-0850,Buffalo Bills,foot fracture,foot,lower body,Medium Severity,Preseason,2019,3,3,,
Ted Larsen,TL-0400,Chicago Bears,knee sprain,knee,lower body,Low Severity,Week 4,2019,1,2,,
Tyquan Lewis,TL-0950,Indianapolis Colts,ankle sprain,ankle,lower body,Medium Severity,Week 3,2019,4,4,,
Tyler Lockett,TL-1025,Seattle Seahawks,back strain,back,upper body,Low Severity,Week 2,2019,0,1,,
T.J. Logan,TL-1037,Tampa Bay Buccaneers,ankle sprain,ankle,lower body,Low Severity,Week 6,2019,0,1,,
T.J. Logan,TL-1037,Tampa Bay Buccaneers,thumb fracture,thumb,upper body,Medium Severity,Week 14,2019,4,4,,
Takkarist McKinley,TM-2250,Atlanta Falcons,shoulder sprain,shoulder,upper body,Low Severity,Week 15,2019,2,2,Shoulder Repair Surgery,4-6 months
Takkarist McKinley,TM-2250,Atlanta Falcons,shoulder sprain,shoulder,upper body,Low Severity,Week 11,2019,2,3,,
Terry McLaurin,TM-2275,Washington Redskins,hamstring strain,hamstring,lower body,Low Severity,Week 4,2019,1,2,,
Terry McLaurin,TM-2275,Washington Redskins,concussion,head,upper body,Low Severity,Week 16,2019,1,1,,
Tony McRae,TM-2350,Cincinnati Bengals,concussion,head,upper body,Low Severity,Week 16,2019,,,,
Ty Montgomery,TM-3150,New York Jets,foot sprain & hip strain,foot,lower body,Low Severity,Week 15,2019,0,1,,
Taylor Moton,TM-3350,Carolina Panthers,knee sprain,knee,lower body,Low Severity,Week 13,2019,0,1,,
Trayvon Mullen,TM-3375,Oakland Raiders,neck strain,neck,upper body,Low Severity,Week 16,2019,,,,
Ty Nsekhe,TN-0650,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 4,2019,1,2,,
Ty Nsekhe,TN-0650,Buffalo Bills,ankle sprain,ankle,lower body,Medium Severity,Week 11,2019,5,7,,
Tim Patrick,TP-0675,Denver Broncos,shoulder sprain,shoulder,upper body,Low Severity,Week 12,2019,0,1,,
Tim Patrick,TP-0675,Denver Broncos,hand fracture,hand,upper body,High Severity,Week 1,2019,8,8,,
Tony Pollard,TP-1650,Dallas Cowboys,ankle & knee sprains,ankle,lower body,Low Severity,Week 13,2019,1,1,,
Terrelle Pryor,TP-2400,,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,0,0,,
Trey Quinn,TQ-0100,Washington Redskins,concussion,head,upper body,Medium Severity,Week 13,2019,4,4,,
Taylor Rapp,TR-0075,Los Angeles Rams,ankle sprain,ankle,lower body,Low Severity,Week 4,2019,1,1,,
Theo Riddick,TR-0370,Denver Broncos,shoulder fracture,shoulder,upper body,High Severity,Preseason,2019,16,16,,
Ty Sambrailo,TS-0150,Atlanta Falcons,hamstring strain,hamstring,lower body,Low Severity,Week 13,2019,2,3,,
Tom Savage,TS-0550,,concussion,head,upper body,Low Severity,Preseason,2019,0,0,,
Tim Settle,TS-1256,Washington Redskins,hamstring strain,hamstring,lower body,Low Severity,Week 9,2019,1,1,,
Tajae Sharpe,TS-1262,Tennessee Titans,hamstring strain,hamstring,lower body,Low Severity,Week 13,2019,1,2,,
Trent Sherfield,TS-1425,Arizona Cardinals,knee sprain,knee,lower body,Low Severity,Week 9,2019,0,1,,
Trevor Siemian,TS-1450,New York Jets,ankle ligament tears,ankle,lower body,High Severity,Week 2,2019,15,15,Ankle Repair Surgery,4-6 months
Tre'Quan Smith,TS-2425,New Orleans Saints,ankle sprain,ankle,lower body,Medium Severity,Week 2,2019,5,5,,
Tyron Smith,TS-2700,Dallas Cowboys,achilles tendon strain,achilles,lower body,Low Severity,Week 13,2019,0,1,,
Tyron Smith,TS-2700,Dallas Cowboys,back spasms,back,upper body,Low Severity,Preseason,2019,1,2,,
Tyron Smith,TS-2700,Dallas Cowboys,high ankle sprain,ankle,lower body,Low Severity,Week 4,2019,2,5,,
Terrell Suggs,TS-3500,Arizona Cardinals,back strain,back,upper body,Low Severity,Week 5,2019,0,1,,
Trent Taylor,TT-0450,San Francisco 49ers,foot fracture & post-surgical infection,foot,lower body,High Severity,Preseason,2019,17,17,Foot Repair Surgeries (5),9-12 months
Tedric Thompson,TT-1262,Seattle Seahawks,hamstring strain,hamstring,lower body,Low Severity,Week 1,2019,2,2,,
Tedric Thompson,TT-1262,Seattle Seahawks,labrum tear,shoulder,upper body,High Severity,Week 8,2019,10,10,Labrum Surgery,4-6 months
Trai Turner,TT-1850,Carolina Panthers,groin strain,groin,lower body,Low Severity,Week 1,2019,0,1,,
Trai Turner,TT-1850,Carolina Panthers,ankle sprain,ankle,lower body,Medium Severity,Week 4,2019,3,4,,
Tanner Vallejo,TV-0050,Cleveland Browns,rib contusion,rib,upper body,Low Severity,Week 15,2019,2,2,,
Tracy Walker,TW-0152,Detroit Lions,knee sprain,knee,lower body,Low Severity,Week 8,2019,3,4,,
Tim Ward,TW-0675,Kansas City Chiefs,ACL tear,knee,lower body,High Severity,Preseason,2019,17,17,ACL Reconstruction Surgery,6-9 months
T.J. Watt,TW-1137,Pittsburgh Steelers,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,,,,
Trae Waynes,TW-1187,Minnesota Vikings,ankle sprain,ankle,lower body,Low Severity,Week 9,2019,1,1,,
Tre'Davious White,TW-1725,Buffalo Bills,quad contusion,quad,lower body,Low Severity,Preseason,2019,,,,
Trayveon Williams,TW-2762,Cincinnati Bengals,foot sprain,foot,lower body,Medium Severity,Preseason,2019,4,5,,
Trevor Williams,TW-2856,Los Angeles Chargers,quadriceps strain,quad,lower body,Low Severity,Week 1,2019,1,1,,
Tyrell Williams,TW-2875,Oakland Raiders,hip pointer,hip,lower body,Low Severity,Week 3,2019,0,1,,
Tyrell Williams,TW-2875,Oakland Raiders,plantar fasciitis,foot,lower body,Low Severity,Week 5,2019,2,3,,
Tavon Wilson,TW-3250,Detroit Lions,hamstring strain,hamstring,lower body,Low Severity,Week 16,2019,0,1,,
Tavon Young,TY-0250,Baltimore Ravens,neck strain,neck,upper body,High Severity,Preseason,2019,17,17,Neck Repair Surgery,4-6 months
Ulysees Gilbert,UG-0100,Pittsburgh Steelers,back strain,back,upper body,Low Severity,Week 6,2019,10,10,,
Uchenna Nwosu,UN-0200,Los Angeles Chargers,ankle sprain,ankle,lower body,Low Severity,Week 14,2019,0,1,,
Vonn Bell,VB-0087,New Orleans Saints,knee sprain,knee,lower body,Medium Severity,Week 14,2019,3,3,,
Vince Biegel,VB-0096,New Orleans Saints,elbow sprain,elbow,upper body,Low Severity,Week 16,2019,1,1,,
Ventell Bryant,VB-0325,Dallas Cowboys,knee sprain,knee,lower body,Low Severity,Week 15,2019,0,1,,
Vontaze Burfict,VB-0350,Oakland Raiders,shoulder sprain,shoulder,upper body,Low Severity,Week 3,2019,0,1,,
Vernon Davis,VD-0100,Washington Redskins,concussion,head,upper body,High Severity,Week 4,2019,12,12,,
Virgil Green,VG-0300,Los Angeles Chargers,groin strain,groin,lower body,Low Severity,Week 3,2019,1,2,,
Vosean Joseph,VJ-0300,Buffalo Bills,shoulder sprain,shoulder,upper body,High Severity,Preseason,2019,17,17,,
Vance McDonald,VM-0250,Pittsburgh Steelers,shoulder sprain,shoulder,upper body,Low Severity,Week 3,2019,1,2,,
Vance McDonald,VM-0250,Pittsburgh Steelers,concussion,head,upper body,Low Severity,Week 14,2019,1,1,,
Von Miller,VM-0300,Denver Broncos,MCL sprain,knee,lower body,Low Severity,Week 12,2019,1,2,,
Vita Vea,VV-0200,Tampa Bay Buccaneers,LCL sprain,knee,lower body,Medium Severity,Preseason,2019,,,,
Vince Williams,VW-0250,Pittsburgh Steelers,hamstring strain,hamstring,lower body,Low Severity,Week 2,2019,2,3,,
Walt Aikens,WA-0050,Miami Dolphins,ankle sprain,ankle,lower body,Low Severity,Week 17,2019,0,0,,
Will Clapp,WC-0125,New Orleans Saints,back strain,back,upper body,Low Severity,Week 13,2019,0,1,,
Will Clapp,WC-0125,New Orleans Saints,elbow sprain,elbow,upper body,Low Severity,Week 14,2019,1,1,,
Will Clapp,WC-0125,New Orleans Saints,hand sprain,hand,upper body,Low Severity,Week 4,2019,1,2,,
Will Compton,WC-0300,Tennessee Titans,ankle sprain,ankle,lower body,Low Severity,Preseason,2019,,,,
Will Dissly,WD-0550,Seattle Seahawks,knee sprain,knee,lower body,Low Severity,Week 2,2019,0,1,,
Will Dissly,WD-0550,Seattle Seahawks,Achilles tendon tear,achilles,lower body,High Severity,Week 6,2019,12,12,Achilles Tendon Repair Surgery,6-9 months
Will Fuller,WF-0300,Houston Texans,core muscle tear,abdomen,upper body,High Severity,Week 16,2019,2,3,Core Muscle Surgery,6-8 weeks
Will Fuller,WF-0300,Houston Texans,hamstring strain,hamstring,lower body,Medium Severity,Week 7,2019,4,7,,
Wayne Gallman,WG-0050,New York Giants,neck strain,neck,upper body,Low Severity,Week 5,2019,0,1,,
Wayne Gallman,WG-0050,New York Giants,concussion,head,upper body,Low Severity,Week 5,2019,1,2,,
William Gholston,WG-0550,Tampa Bay Buccaneers,foot sprain,foot,lower body,Low Severity,Week 11,2019,,1,,
Will Grier,WG-0750,Carolina Panthers,foot sprain,foot,lower body,Low Severity,Week 17,2019,0,1,,
Willie Harvey,WH-0275,Cleveland Browns,shoulder sprain,shoulder,upper body,High Severity,Week 4,2019,12,12,,
William Jackson,WJ-0150,Cincinnati Bengals,shoulder sprain,shoulder,upper body,Low Severity,Week 6,2019,2,2,,
Wes Martin,WM-0150,Washington Redskins,chest strain,chest,upper body,Medium Severity,Week 6,2019,3,4,,
Will Parks,WP-0125,Denver Broncos,hand sprain,hand,upper body,Low Severity,Week 7,2019,2,2,,
Will Redmond,WR-0350,Green Bay Packers,hamstring strain,hamstring,lower body,Low Severity,Week 16,2019,1,1,,
Will Redmond,WR-0350,Green Bay Packers,foot sprain,foot,lower body,Low Severity,Week 10,2019,2,2,,
Weston Richburg,WR-0450,San Francisco 49ers,knee sprain,knee,lower body,Low Severity,Week 1,2019,0,1,,
Weston Richburg,WR-0450,San Francisco 49ers,patellar tendon tear,knee,lower body,High Severity,Week 14,2019,4,4,Patellar Tendon Repair Surgery,6-9 months
Wes Schweitzer,WS-0275,Atlanta Falcons,shoulder sprain,shoulder,upper body,Low Severity,Week 5,2019,0,2,,
Wes Schweitzer,WS-0275,Atlanta Falcons,knee sprain,knee,lower body,Low Severity,Week 10,2019,1,2,,
William Sweet,WS-1100,Arizona Cardinals,foot sprain,foot,lower body,High Severity,Preseason,2019,16,16,,
Wesley Woodyard,WW-0900,Tennessee Titans,quadriceps strain,quad,lower body,Low Severity,Week 2,2019,1,1,,
Xavien Howard,XH-0100,Miami Dolphins,knee sprain,knee,lower body,High Severity,Week 4,2019,11,12,,
